Date/Time,THERMAL ZONE: JORGE:Zone Mean Air Temperature [C](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 05/03  00:10:00,26.52025799432077,-1.107718235115311,30.86775320734202 
 05/03  00:20:00,26.41106874446674,-1.145947778179374,32.64955913996816 
 05/03  00:30:00,26.378476690367106,-1.1592043894336055,33.27842478892866 
 05/03  00:40:00,26.361104054230947,-1.1730366835350788,33.94042920123478 
 05/03  00:50:00,26.316372710509009,-1.193370449796159,34.92410065876824 
 05/03  01:00:00,26.227693818687564,-1.2268780665153918,36.57121130874832 
 05/03  01:10:00,26.14270082388915,-1.2600374823463652,38.231302224252868 
 05/03  01:20:00,26.08803334834698,-1.2848218152982958,39.49025551734196 
 05/03  01:30:00,25.961615041755118,-1.3304392061523894,41.84425304552564 
 05/03  01:40:00,25.90043548516632,-1.3546600540268606,43.11157321681848 
 05/03  01:50:00,25.876806808442077,-1.3660240331758307,43.70993371381729 
 05/03  02:00:00,25.89321062725739,-1.3691644274043449,43.875688625828228 
 05/03  02:10:00,25.89811312911821,-1.3761531437759072,44.24516570835558 
 05/03  02:20:00,25.952591250164088,-1.3653087033042002,43.672201328779078 
 05/03  02:30:00,25.995233238264079,-1.356830521193187,43.22567873998611 
 05/03  02:40:00,25.968198875874287,-1.3725888338052526,44.05662630115585 
 05/03  02:50:00,25.94024903819196,-1.384618347317809,44.69378056465584 
 05/03  03:00:00,25.906654625623334,-1.4031218669365,45.67826452613497 
 05/03  03:10:00,25.875632752602884,-1.4194929072325807,46.55339446274994 
 05/03  03:20:00,25.82667209086187,-1.4385965938682713,47.57895749046007 
 05/03  03:30:00,25.808860451457414,-1.4545218434286485,48.437062530407377 
 05/03  03:40:00,25.66726243926805,-1.5072487489268798,51.29404672879177 
 05/03  03:50:00,25.464021431248506,-1.5838974935251836,55.46855831977743 
 05/03  04:00:00,25.359030888654595,-1.6240202877842148,57.65119184232731 
 05/03  04:10:00,25.313928133494668,-1.6498378261282399,59.050734509413789 
 05/03  04:20:00,25.39544874348696,-1.6331118358653816,58.14459700690451 
 05/03  04:30:00,25.476956835415007,-1.610644861759051,56.924382746947419 
 05/03  04:40:00,25.523293360508604,-1.601681203137496,56.43679972924468 
 05/03  04:50:00,25.498686067092206,-1.6100905560998469,56.89424169161605 
 05/03  05:00:00,25.38116798294693,-1.6583786561574366,59.512517618407468 
 05/03  05:10:00,25.27267231464014,-1.6982389374312537,61.657358903586 
 05/03  05:20:00,25.137361097819544,-1.7586364245786897,64.86398648314079 
 05/03  05:30:00,25.091241143052107,-1.778918229456403,65.92583859840642 
 05/03  05:40:00,24.988617266781924,-1.8290643373884619,68.51148972374819 
 05/03  05:50:00,24.887281862376584,-1.8661446685702279,70.38157487610539 
 05/03  06:00:00,24.81437096822188,-1.898128820744689,71.96204857345752 
 05/03  06:10:00,24.831680381347799,-1.8967670846509433,71.89541611816765 
 05/03  06:20:00,24.928570605952787,-1.86678187695729,70.41336796870977 
 05/03  06:30:00,24.968498084343638,-1.8621798405062176,70.18348258293307 
 05/03  06:40:00,24.80296301325685,-1.9232478858098688,73.18015866801764 
 05/03  06:50:00,24.71364516043428,-1.9515615846358519,74.52699549450057 
 05/03  07:00:00,24.91340171503941,-1.878206192113662,70.9813064447784 
 05/03  07:10:00,25.058815920160368,-1.8266851405064689,68.39021425774058 
 05/03  07:20:00,24.958896971787874,-1.8547094157733424,69.80899443708624 
 05/03  07:30:00,25.014762180755235,-1.823298509179562,68.21733218818346 
 05/03  07:40:00,25.131135419833407,-1.7715577053095076,65.54146172513089 
 05/03  07:50:00,25.2954833539414,-1.699372348736594,61.718059992096659 
 05/03  08:00:00,25.536338605915757,-1.6006339751463475,56.37981277133378 
 05/03  08:10:00,25.742352088333285,-1.5017514113533,50.995284610309429 
 05/03  08:20:00,25.951063162585827,-1.4270141507628762,46.95663487218367 
 05/03  08:30:00,26.111116475153535,-1.3667249073930552,43.746912201276128 
 05/03  08:40:00,26.211176970284205,-1.3197961617219834,41.29103846803944 
 05/03  08:50:00,26.297894795694949,-1.271381184710029,38.80566879322617 
 05/03  09:00:00,26.36772802360923,-1.232303069558639,36.840820644423228 
 05/03  09:10:00,28.662337510992459,0.39743107002256036,8.290796383443109 
 05/03  09:20:00,28.940916093303174,0.5116443938335199,10.473267901092598 
 05/03  09:30:00,29.234546947768508,0.5869420840487163,12.220257621710758 
 05/03  09:40:00,29.73139652715703,0.7293321777550775,16.195793176209734 
 05/03  09:50:00,29.878319752391869,0.7998592689068242,18.4883687205769 
 05/03  10:00:00,29.83474201098004,0.8199862445331896,19.18139315678775 
 05/03  10:10:00,29.807714258082325,0.8226878195306083,19.27571461758501 
 05/03  10:20:00,29.93445255538835,0.8824545633106212,21.440255367831115 
 05/03  10:30:00,30.07922373357738,0.9466804665559854,23.929283583063126 
 05/03  10:40:00,30.15815815355802,0.9913304440832078,25.756039555614309 
 05/03  10:50:00,30.199303854372979,1.0238368751401655,27.13402225105962 
 05/03  11:00:00,30.250351661515017,1.0474870614183894,28.161287741416147 
 05/03  11:10:00,30.35215824582939,1.0902645449388318,30.07047669488273 
 05/03  11:20:00,30.389012167110928,1.1050213198823052,30.74388299802331 
 05/03  11:30:00,30.5119550131283,1.1603782475682477,33.3343755788662 
 05/03  11:40:00,30.570110175913169,1.1836010421490726,34.449955085839807 
 05/03  11:50:00,30.673779748866648,1.2253755232134903,36.496679908858229 
 05/03  12:00:00,30.771397350237434,1.2639961974575962,38.43138217987342 
 05/03  12:10:00,30.884286113013809,1.3113387844584668,40.85311674942947 
 05/03  12:20:00,30.932338730474798,1.3313930015837996,41.89394292045061 
 05/03  12:30:00,30.95041624307611,1.3533410569040534,43.0422730167542 
 05/03  12:40:00,31.001481270263765,1.3661109184439214,43.714517363335627 
 05/03  12:50:00,31.056734652146767,1.3733805747019404,44.09848825535641 
 05/03  13:00:00,31.050360819979966,1.3742787826852557,44.14599219765122 
 05/03  13:10:00,30.988576418444059,1.3877548733269625,44.860292364563118 
 05/03  13:20:00,31.053826008757583,1.4409362039184004,47.70485251767298 
 05/03  13:30:00,31.159264797909278,1.4819127570918287,49.9186344346689 
 05/03  13:40:00,31.217985781994643,1.5096408728196609,51.42409954560281 
 05/03  13:50:00,31.34110904651737,1.5553640650159593,53.91377356966572 
 05/03  14:00:00,31.537927141087058,1.606398378560194,56.69343777252878 
 05/03  14:10:00,31.372086397721185,1.5431149521409318,53.24631435586054 
 05/03  14:20:00,31.36851330328176,1.564250865673388,54.39807637336497 
 05/03  14:30:00,31.505840195336178,1.6275128231356158,57.84079934156473 
 05/03  14:40:00,31.600004423008224,1.6681486093998606,60.03988984543031 
 05/03  14:50:00,31.652834316759919,1.6780480527297313,60.573217066259207 
 05/03  15:00:00,31.72165174637695,1.7072521527665637,62.13957578273156 
 05/03  15:10:00,31.791351300100915,1.7433148608171787,64.05644082850748 
 05/03  15:20:00,31.83513478637256,1.7583636852395226,64.84965051091278 
 05/03  15:30:00,31.843960092684694,1.7548319448772075,64.66388126261285 
 05/03  15:40:00,31.833037355953647,1.7561858772060688,64.73512655699702 
 05/03  15:50:00,31.864224590775409,1.7557834779513682,64.71395559299615 
 05/03  16:00:00,31.700742403117837,1.6926792165794802,61.35935117737397 
 05/03  16:10:00,31.505171645038528,1.644639110860058,58.76933372659946 
 05/03  16:20:00,31.336293457755337,1.5822875030311794,55.38085801028707 
 05/03  16:30:00,31.170068113887515,1.5136972838890715,51.64469757876703 
 05/03  16:40:00,30.969883634630166,1.4463453010224346,47.996147814267967 
 05/03  16:50:00,30.86539865883471,1.4055257194922129,45.80653320171674 
 05/03  17:00:00,30.9390973983786,1.4269024238146518,46.950639617399449 
 05/03  17:10:00,30.89977289126476,1.4062022087769815,45.842645181450858 
 05/03  17:20:00,30.815184283900554,1.383354088510513,44.626707592128919 
 05/03  17:30:00,30.777129452426935,1.3781534687822946,44.35106813198723 
 05/03  17:40:00,30.798623710088504,1.3896074288042924,44.958713015676718 
 05/03  17:50:00,30.85427044626882,1.4097531083945474,46.03230231484691 
 05/03  18:00:00,30.908102702288539,1.4295037229565209,47.090264603457118 
 05/03  18:10:00,29.40462131755657,0.2785774041853528,6.611823816973569 
 05/03  18:20:00,29.015141110703046,0.14479642428239287,5.434410707985805 
 05/03  18:30:00,28.755411024706768,0.0559947319388324,5.064913681403013 
 05/03  18:40:00,28.24018865921063,-0.08615140274223288,5.153691455715091 
 05/03  18:50:00,27.962786536206236,-0.1833168934768573,5.696672207715238 
 05/03  19:00:00,27.884975427207466,-0.24502823297190608,6.246071763940705 
 05/03  19:10:00,27.867474173427138,-0.27638780235687168,6.586506940927691 
 05/03  19:20:00,27.82571241141126,-0.3105445209025805,7.004487871467703 
 05/03  19:30:00,27.75493820725793,-0.3454859726575823,7.483174416447682 
 05/03  19:40:00,27.666246610162678,-0.3845976112510579,8.080559945274914 
 05/03  19:50:00,27.536314110388085,-0.443992648152949,9.1127794785003 
 05/03  20:00:00,27.430610311956703,-0.5027644419623538,10.283428299600502 
 05/03  20:10:00,27.361524246645549,-0.5378420497077137,11.053212432225124 
 05/03  20:20:00,27.30332608224724,-0.5686706244814772,11.773753505461983 
 05/03  20:30:00,27.200783596997238,-0.6263974365510474,13.23385870905058 
 05/03  20:40:00,27.036819815933414,-0.6919874850368049,15.06825214285152 
 05/03  20:50:00,27.036815825432684,-0.7151625398827682,15.760895179962205 
 05/03  21:00:00,26.980252795655873,-0.7598580887223777,17.162002386384218 
 05/03  21:10:00,26.9790737606478,-0.7746430004932129,17.644308902572847 
 05/03  21:20:00,26.955140277801239,-0.7962614451264066,18.366289272983197 
 05/03  21:30:00,26.83210152187103,-0.8525087566210623,20.337175991541458 
 05/03  21:40:00,26.746003266023029,-0.8877235967741587,21.63816268519473 
 05/03  21:50:00,26.758070777681426,-0.8916719284950474,21.787208059952478 
 05/03  22:00:00,26.75580914083445,-0.9038599498449619,22.25130028922048 
 05/03  22:10:00,26.811719225014195,-0.8980754092818257,22.030284719883086 
 05/03  22:20:00,26.82586596697291,-0.8887351605713414,21.676287469514535 
 05/03  22:30:00,26.81871876623891,-0.9005275511435608,22.123810149810028 
 05/03  22:40:00,26.834689674501435,-0.9126851492263837,22.59110578941288 
 05/03  22:50:00,26.83291196536553,-0.9186156242436728,22.82121920792595 
 05/03  23:00:00,26.82779739540667,-0.9200851461488865,22.878458207995693 
 05/03  23:10:00,26.851248371356467,-0.9169084190250728,22.754831305899218 
 05/03  23:20:00,26.86963226551947,-0.9194515429843269,22.85376823706072 
 05/03  23:30:00,26.83827818904095,-0.9352094423551448,23.47258885420142 
 05/03  23:40:00,26.814679040597363,-0.9474546468721669,23.960293654609573 
 05/03  23:50:00,26.763643966442513,-0.9693694913925706,24.84786968285232 
 05/03  24:00:00,26.737792295291855,-0.9835587543529517,25.432526764666166 
 05/04  00:10:00,26.794424353048777,-0.9777774966180042,25.19337533433304 
 05/04  00:20:00,26.81497747881612,-0.9840107214644451,25.451277379016945 
 05/04  00:30:00,26.759515507891416,-1.00545799463741,26.350027818941486 
