tiempo,TCAire,Ti_003,Ti_01,Ti_001,Ti_0001
2019-06-08 00:00:00,25.3480564,23.73457034330309,22.21373758237385,24.66011366281194,25.32087562974468
2019-06-08 00:10:00,25.311138,23.698886519249996,22.211161822897413,24.614128633473054,25.27601667185293
2019-06-08 00:20:00,25.2742196,23.666798048346692,22.201097258127444,24.57254245533412,25.231254892294206
2019-06-08 00:30:00,25.2280716,23.642928250713823,22.20449676419364,24.53775035714309,25.18912728371489
2019-06-08 00:40:00,25.1876921,23.610512918514218,22.188385759681747,24.499703367658256,25.14445326129333
2019-06-08 00:50:00,25.147312600000003,23.567799232428708,22.15551655457293,24.455231428411647,25.095113643971388
2019-06-08 01:00:00,25.1000109,23.52159934385052,22.11952659959597,24.408388486202096,25.0437995736662
2019-06-08 01:10:00,25.0630925,23.47778872555348,22.087789000087486,24.363080556908574,24.99249389497761
2019-06-08 01:20:00,25.0100223,23.4366872582767,22.05874760450718,24.319972886680254,24.942356029242056
2019-06-08 01:30:00,24.9546447,23.395636454089228,22.02862812815869,24.27872375609392,24.892664587627443
2019-06-08 01:40:00,24.8681172,23.314471896807348,21.919585521356563,24.214654049124302,24.82999921513896
2019-06-08 01:50:00,24.7954341,23.223392462150755,21.80776238820379,24.14017214149237,24.761370051883567
2019-06-08 02:00:00,24.7712064,23.14250931809098,21.720011881975985,24.068027895642494,24.69395307399252
2019-06-08 02:10:00,24.7123677,23.037121338807697,21.581953415302223,23.982026974439023,24.62151699460867
2019-06-08 02:20:00,24.7077529,22.98102122023824,21.54554901038382,23.923906124728017,24.56426976885427
2019-06-08 02:30:00,24.6662197,22.973657696220855,21.58231056115582,23.90102528262505,24.525056337337855
2019-06-08 02:40:00,24.6362235,22.94808805133322,21.55737695693421,23.872860023257868,24.48142966853432
2019-06-08 02:50:00,24.6050736,22.925958588918515,21.551099002556775,23.845261169616897,24.43892834137419
2019-06-08 03:00:00,24.5566182,22.899737148467693,21.54065564572311,23.81374257413423,24.396599264620768
2019-06-08 03:10:00,24.473551800000003,22.85386265026228,21.48856326298001,23.7685307570226,24.345996187826255
2019-06-08 03:20:00,24.4077909,22.745807444769497,21.323314728982332,23.685226670726667,24.2741617415054
2019-06-08 03:30:00,24.375487300000003,22.65935831010167,21.23364221926854,23.609498980791333,24.206754808678447
2019-06-08 03:40:00,24.3247245,22.601599530621098,21.18723108664274,23.549761814920156,24.14706537766866
2019-06-08 03:50:00,24.2670395,22.52279546125867,21.08367397939045,23.480857858550134,24.082778538484774
2019-06-08 04:00:00,24.1539769,22.41634747483343,20.9403705499464,23.395874814829895,24.010389067312197
2019-06-08 04:10:00,24.0628346,22.29019267062601,20.77402100762448,23.29564467570671,23.92772987959328
2019-06-08 04:20:00,23.9797682,22.209306411467768,20.7038597998784,23.21878101973868,23.858022839230134
2019-06-08 04:30:00,23.8620908,22.15106976917611,20.653237016472616,23.158898847127563,23.79923986198519
2019-06-08 04:40:00,23.8067132,22.11740048402769,20.631069225813054,23.116827935818694,23.74929928175049
2019-06-08 04:50:00,23.7605652,22.087297343575212,20.60968968036941,23.08024779618781,23.703089837300997
2019-06-08 05:00:00,23.7109561,22.07193876762743,20.619363811370825,23.05340789356591,23.66391851931736
2019-06-08 05:10:00,23.6463489,21.98990262243373,20.499693500829025,22.988663282026828,23.60452822897758
2019-06-08 05:20:00,23.5448233,21.917897860987495,20.42673995254123,22.92373273314059,23.542238384817082
2019-06-08 05:30:00,23.4756013,21.91456739785664,20.479761435649642,22.897651884051147,23.50220118635749
2019-06-08 05:40:00,23.4513736,21.859507484011,20.398671157431004,22.84713204986696,23.45023821190679
2019-06-08 05:50:00,23.3533091,21.7589893058167,20.2542987096262,22.768039374938283,23.379797414777688
2019-06-08 06:00:00,23.2725501,21.682063489649305,20.186545250436488,22.69849480619319,23.314393212208383
2019-06-08 06:10:00,23.2160188,21.640856166548183,20.171408403471208,22.651578678552163,23.26481834220224
2019-06-08 06:20:00,23.153719,21.66890620381088,20.24954653785773,22.65025276583465,23.24456973566795
2019-06-08 06:30:00,23.0683452,21.71425042415884,20.31889916146266,22.66939245602001,23.24410585732518
2019-06-08 06:40:00,23.0129676,21.80997115590449,20.49488728919732,22.72186379588519,23.27186538709488
2019-06-08 06:50:00,22.9679733,21.910696061283996,20.62824127170982,22.77301268201696,23.292928729699224
2019-06-08 07:00:00,22.9022124,21.926439836128516,20.587280054461402,22.7803796288433,23.29211890606316
2019-06-08 07:10:00,22.9252864,21.985528152186134,20.67648424122144,22.8173428107448,23.31752898072699
2019-06-08 07:20:00,22.8849069,22.25264116928597,21.15556212778424,22.96647260751632,23.410549729818413
2019-06-08 07:30:00,22.899905,22.458552405977596,21.424360536934213,23.092648688633453,23.49657261015652
2019-06-08 07:40:00,22.9495141,22.619439159326383,21.725117785295303,23.192300031340302,23.565361450190014
2019-06-08 07:50:00,22.9875862,23.02291520558328,22.293624205453117,23.446990472626748,23.73362178885144
2019-06-08 08:00:00,22.9760492,23.37323409532068,22.96329159722879,23.68596425556914,23.888141351917493
2019-06-08 08:10:00,23.0025843,23.26040917911749,22.430852705949043,23.565638104722,23.82427268348511
2019-06-08 08:20:00,23.0971877,23.05542649834248,22.13956056229632,23.469672289002503,23.779278950520467
2019-06-08 08:30:00,23.1202617,23.107240972965183,22.36718800846709,23.59639094799448,23.866738554620763
2019-06-08 08:40:00,23.1202617,23.27798512142014,22.63923480904991,23.731442008048088,23.970100962341448
2019-06-08 08:50:00,23.1502579,23.41291297743274,22.766488969694088,23.813350728713612,24.04615381019604
