tiempo,PMV_0001,PPD_0001,PMV_001,PPD_001,PMV_01,PPD_01,PMV_003,PPD_003
2019-06-08 00:00:00,-33.12252104089029,100.0,-35.40386437633355,100.0,-40.733820200024745,100.0,-37.37617247641308,100.0
2019-06-08 00:10:00,-33.29166882935869,100.0,-35.55626533367512,100.0,-40.79685202888262,100.0,-37.50370095536396,100.0
2019-06-08 00:20:00,-33.4694695803179,100.0,-35.70920478140598,100.0,-40.887188338333445,100.0,-37.63422905504363,100.0
2019-06-08 00:30:00,-33.63131711664663,100.0,-35.83960283577207,100.0,-40.95151010739946,100.0,-37.74366709376443,100.0
2019-06-08 00:40:00,-33.80582571515115,100.0,-35.98319779380343,100.0,-41.050536233700285,100.0,-37.87509449649766,100.0
2019-06-08 00:50:00,-33.98752040284011,100.0,-36.13759488416496,100.0,-41.18013810993587,100.0,-38.02481934604821,100.0
2019-06-08 01:00:00,-34.1714842610692,100.0,-36.29573943555325,100.0,-41.32008056086368,100.0,-38.182747658858254,100.0
2019-06-08 01:10:00,-34.35432337559867,100.0,-36.451530534279605,100.0,-41.45416357319344,100.0,-38.336539791279066,100.0
2019-06-08 01:20:00,-34.53321697423861,100.0,-36.60161095097212,100.0,-41.58240515294206,100.0,-38.485917693322726,100.0
2019-06-08 01:30:00,-34.71033700722057,100.0,-36.74895153756847,100.0,-41.71122569851811,100.0,-38.63375437704781,100.0
2019-06-08 01:40:00,-34.93226942382512,100.0,-36.96218932507018,100.0,-42.025162727364936,100.0,-38.88466720577092,100.0
2019-06-08 01:50:00,-35.15514391994698,100.0,-37.187040805012934,100.0,-42.34433124887659,100.0,-39.15111159890748,100.0
2019-06-08 02:00:00,-35.37567923240784,100.0,-37.40805850674018,100.0,-42.60646024837449,100.0,-39.397008002075374,100.0
2019-06-08 02:10:00,-35.6180907599632,100.0,-37.668620942599006,100.0,-42.98124211257282,100.0,-39.70272609592149,100.0
2019-06-08 02:20:00,-35.79648157412649,100.0,-37.842033151860974,100.0,-43.12100443846927,100.0,-39.87863688188276,100.0
2019-06-08 02:30:00,-35.939550488377016,100.0,-37.94834114472904,100.0,-43.110814617717935,100.0,-39.95731291597915,100.0
2019-06-08 02:40:00,-36.11191862142187,100.0,-38.08468622836499,100.0,-43.24195763227399,100.0,-40.09058333563532,100.0
2019-06-08 02:50:00,-36.25843784457524,100.0,-38.19476220871651,100.0,-43.30872704868377,100.0,-40.190940971524526,100.0
2019-06-08 03:00:00,-36.41370479082069,100.0,-38.32045487132912,100.0,-43.38803047238182,100.0,-40.30548522728014,100.0
2019-06-08 03:10:00,-36.59616731290195,100.0,-38.484460699273065,100.0,-43.56662277064508,100.0,-40.47107389225414,100.0
2019-06-08 03:20:00,-36.84057686716045,100.0,-38.745813912504886,100.0,-44.00801713301238,100.0,-40.78660185497383,100.0
2019-06-08 03:30:00,-37.043448032130016,100.0,-38.96216136892787,100.0,-44.27435198320729,100.0,-41.033008505056536,100.0
2019-06-08 03:40:00,-37.244341512272,100.0,-39.16364284362663,100.0,-44.46984305334785,100.0,-41.24137615098088,100.0
2019-06-08 03:50:00,-37.46458896752093,100.0,-39.394926797645326,100.0,-44.78641109395889,100.0,-41.50232147400407,100.0
2019-06-08 04:00:00,-37.70093321650629,100.0,-39.66107354079516,100.0,-45.19541991569479,100.0,-41.82400543060747,100.0
2019-06-08 04:10:00,-37.96840127887656,100.0,-39.97161260498547,100.0,-45.66883000320643,100.0,-42.20139930095642,100.0
2019-06-08 04:20:00,-38.17981516043592,100.0,-40.20814433807198,100.0,-45.916758434096025,100.0,-42.46083057789993,100.0
2019-06-08 04:30:00,-38.37962869334408,100.0,-40.41906971191236,100.0,-46.10736294024311,100.0,-42.67454366990405,100.0
2019-06-08 04:40:00,-38.55206192001451,100.0,-40.58233872029369,100.0,-46.21880036784695,100.0,-42.82037225552614,100.0
2019-06-08 04:50:00,-38.71674423154054,100.0,-40.73275371006987,100.0,-46.33408164457873,100.0,-42.95555208365669,100.0
2019-06-08 05:00:00,-38.856341155874254,100.0,-40.85202006766616,100.0,-46.38102747920858,100.0,-43.05031216025475,100.0
2019-06-08 05:10:00,-39.07784238784632,100.0,-41.08761208816824,100.0,-46.733745248605,100.0,-43.32068492319987,100.0
2019-06-08 05:20:00,-39.27355775452784,100.0,-41.2945881873024,100.0,-46.9748839038822,100.0,-43.54714703269901,100.0
2019-06-08 05:30:00,-39.403635120561766,100.0,-41.40482336004625,100.0,-46.938875455620824,100.0,-43.61845653727443,100.0
2019-06-08 05:40:00,-39.60881913717855,100.0,-41.60968294014064,100.0,-47.18550956800533,100.0,-43.828738144078,100.0
2019-06-08 05:50:00,-39.8421667015806,100.0,-41.86270608807448,100.0,-47.57095040069282,100.0,-44.123289072468985,100.0
2019-06-08 06:00:00,-40.04335001945319,100.0,-42.07666993195063,100.0,-47.79976291914104,100.0,-44.35575095349614,100.0
2019-06-08 06:10:00,-40.20734362289963,100.0,-42.24267112808147,100.0,-47.92415998805873,100.0,-44.51797664927059,100.0
2019-06-08 06:20:00,-40.27670280590398,100.0,-42.28195208240115,100.0,-47.80869531190584,100.0,-44.50388465207392,100.0
