tiempo,Ti,Ti_s
2019-06-22 00:00:00,27.8654298,
2019-06-22 00:00:20,27.8619687,
2019-06-22 00:00:40,27.873505699999995,
2019-06-22 00:01:00,27.855046500000004,
2019-06-22 00:01:20,27.873505699999995,
2019-06-22 00:01:40,27.8585076,
2019-06-22 00:02:00,27.8769668,
2019-06-22 00:02:20,27.8769668,
2019-06-22 00:02:40,27.8885038,
2019-06-22 00:03:00,27.8469706,
2019-06-22 00:03:20,27.8331262,
2019-06-22 00:03:40,27.8227429,
2019-06-22 00:04:00,27.7927467,
2019-06-22 00:04:20,27.783517100000005,
2019-06-22 00:04:40,27.7523672,
2019-06-22 00:05:00,27.791593,
2019-06-22 00:05:20,27.7269858,
2019-06-22 00:05:40,27.6866063,
2019-06-22 00:06:00,27.7269858,
2019-06-22 00:06:20,27.7016044,
2019-06-22 00:06:40,27.7200636,
2019-06-22 00:07:00,27.7016044,
2019-06-22 00:07:20,27.6681471,
2019-06-22 00:07:40,27.6681471,
2019-06-22 00:08:00,27.6600712,
2019-06-22 00:08:20,27.6496879,
2019-06-22 00:08:40,27.6231528,
2019-06-22 00:09:00,27.6681471,
2019-06-22 00:09:20,27.6381509,
2019-06-22 00:09:40,27.6716082,
2019-06-22 00:10:00,27.6312287,27.02036839872135
2019-06-22 00:10:20,27.6093084,
2019-06-22 00:10:40,27.5793122,
2019-06-22 00:11:00,27.6127695,
2019-06-22 00:11:20,27.6127695,
2019-06-22 00:11:40,27.6093084,
2019-06-22 00:12:00,27.6012325,
2019-06-22 00:12:20,27.57239,
2019-06-22 00:12:40,27.5793122,
2019-06-22 00:13:00,27.5631604,
2019-06-22 00:13:20,27.5412401,
2019-06-22 00:13:40,27.5320105,
2019-06-22 00:14:00,27.542393800000003,
2019-06-22 00:14:20,27.4627885,
2019-06-22 00:14:40,27.514705,
2019-06-22 00:15:00,27.488169899999995,
2019-06-22 00:15:20,27.4962458,
2019-06-22 00:15:40,27.4847088,
2019-06-22 00:16:00,27.4997069,
2019-06-22 00:16:20,27.5100902,
2019-06-22 00:16:40,27.466249600000005,
2019-06-22 00:17:00,27.477786600000005,
2019-06-22 00:17:20,27.491631,
2019-06-22 00:17:40,27.4593274,
2019-06-22 00:18:00,27.4547126,
2019-06-22 00:18:20,27.432792300000003,
2019-06-22 00:18:40,27.4812477,
2019-06-22 00:19:00,27.4962458,
2019-06-22 00:19:20,27.5066291,
2019-06-22 00:19:40,27.4697107,
2019-06-22 00:20:00,27.4731718,27.005734884744488
2019-06-22 00:20:20,27.4847088,
2019-06-22 00:20:40,27.488169899999995,
2019-06-22 00:21:00,27.4431756,
2019-06-22 00:21:20,27.4420219,
2019-06-22 00:21:40,27.4016424,
2019-06-22 00:22:00,27.3785684,
2019-06-22 00:22:20,27.3820295,
2019-06-22 00:22:40,27.3935665,
2019-06-22 00:23:00,27.356648100000005,
2019-06-22 00:23:20,27.4004887,
2019-06-22 00:23:40,27.375107300000003,
2019-06-22 00:24:00,27.3901054,
2019-06-22 00:24:20,27.3785684,
2019-06-22 00:24:40,27.3820295,
2019-06-22 00:25:00,27.386644300000004,
2019-06-22 00:25:20,27.3716462,
2019-06-22 00:25:40,27.3901054,
2019-06-22 00:26:00,27.4085646,
