tiempo,TCAire,Ti_0001,Ti_001,Ti_01,Ti_003
2019-06-08 00:00:00,25.3480564,25.34081977066273,24.6803518702082,22.222786119225766,23.750827629917016
2019-06-08 00:10:00,25.311138,25.295892470959814,24.63404557944955,22.22003853748006,23.71486621443802
2019-06-08 00:20:00,25.2742196,25.251027866593002,24.592133581491584,22.20977891938128,23.68249043493809
2019-06-08 00:30:00,25.2280716,25.208713519485283,24.557001694299807,22.212976501002338,23.658320323466636
2019-06-08 00:40:00,25.1876921,25.163785292625825,24.51860867400589,22.196678434169808,23.62560975627851
2019-06-08 00:50:00,25.147312600000003,25.11417176773276,24.473790256037237,22.16363749702855,23.58261450053591
2019-06-08 01:00:00,25.1000109,25.062601295481024,24.426611305594815,22.127480988990246,23.535940193192094
2019-06-08 01:10:00,25.0630925,25.011045450940856,24.38071626270608,22.09558202353789,23.491849534234767
2019-06-08 01:20:00,25.0100223,24.96065344787551,24.337532724188105,22.06638300885199,23.450344840497415
2019-06-08 01:30:00,24.9546447,24.91071198779627,24.29580464173063,22.036105099577373,23.40938910999834
2019-06-08 01:40:00,24.8681172,24.84779373535944,24.231367101702585,21.92691472144697,23.328117811510126
2019-06-08 01:50:00,24.7954341,24.778912649348896,24.15665535824992,21.81498350751589,23.23676998516168
2019-06-08 02:00:00,24.7712064,24.71124167178312,24.08431933113337,21.72713781981038,23.155629719433296
2019-06-08 02:10:00,24.7123677,24.638566388953972,23.9980966417496,21.588933199377045,23.050002712389137
2019-06-08 02:20:00,24.7077529,24.58108502681715,23.939732155685487,21.55239940544463,22.9937059920359
2019-06-08 02:30:00,24.6662197,24.541635120937038,23.916572638817406,21.589161525021215,22.9861326553486
2019-06-08 02:40:00,24.6362235,24.497772408943263,23.888247826855448,21.56404991090312,22.96034205621547
2019-06-08 02:50:00,24.6050736,24.45503413081199,23.86051347734997,21.55757872509609,22.937990392488853
2019-06-08 03:00:00,24.5566182,24.41246623406756,23.82881426535832,21.546986233284976,22.91154476619875
2019-06-08 03:10:00,24.473551800000003,24.36163220268048,23.783388444348137,21.494810842398756,22.865472944540397
2019-06-08 03:20:00,24.4077909,24.289573187106708,23.699857311912695,21.32962220201868,22.757242445979703
2019-06-08 03:30:00,24.375487300000003,24.22194772442336,23.623925349018602,21.239695330747622,22.67065160348669
2019-06-08 03:40:00,24.3247245,24.1620546305335,23.5640037225573,21.19306595815838,22.61276395049872
2019-06-08 03:50:00,24.2670395,24.0975631725466,23.49490642735265,21.08938397996813,22.53380397094653
2019-06-08 04:00:00,24.1539769,24.024970539827507,23.40972266811432,20.945987131878088,22.42720085059968
2019-06-08 04:10:00,24.0628346,23.94212312084912,23.3093078518782,20.7795711132064,22.300935802800407
2019-06-08 04:20:00,23.9797682,23.872230640552964,23.23227380835087,20.709333155590876,22.21994763385516
2019-06-08 04:30:00,23.8620908,23.813246092589647,23.172215410216,20.658606884689924,22.161572457432133
2019-06-08 04:40:00,23.8067132,23.76310580011476,23.12997050077275,20.63635946566945,22.127756348641668
2019-06-08 04:50:00,23.7605652,23.716699028063335,23.09320646660226,20.614852469960606,22.097484513084
2019-06-08 05:00:00,23.7109561,23.67732928199839,23.066174035089368,20.624434915939823,22.08194208729435
2019-06-08 05:10:00,23.6463489,23.617742230066288,23.001227568735967,20.504668724080855,21.999724028697734
2019-06-08 05:20:00,23.5448233,23.555277463995814,22.93612378957689,20.431658992590005,21.927599587934928
2019-06-08 05:30:00,23.4756013,23.51506752950588,22.90988263800106,20.48460689792747,21.92414592544477
2019-06-08 05:40:00,23.4513736,23.462910760515573,22.85918172855661,20.403406782061705,21.868919577157737
2019-06-08 05:50:00,23.3533091,23.3922971489457,22.77991712512129,20.25896638887396,21.76827304139759
2019-06-08 06:00:00,23.2725501,23.32673283971033,22.710218216813757,20.191153183845103,21.69125255031023
2019-06-08 06:10:00,23.2160188,23.276996409161384,22.663151322178756,20.17593249418399,21.649936784763412
2019-06-08 06:20:00,23.153719,23.25658015696205,22.661674846179732,20.254004491413706,21.67785918942135
2019-06-08 06:30:00,23.0683452,23.25593886976296,22.68064152482733,20.323266489399863,21.72302288664621
2019-06-08 06:40:00,23.0129676,23.28357319963849,22.7330017717048,20.49918842782801,21.8186061360258
2019-06-08 06:50:00,22.9679733,23.304419243122716,22.783947025913733,20.63244819073355,21.91905993904508
2019-06-08 07:00:00,22.9022124,23.30334612191333,22.791068531434647,20.5913798799101,21.93451339403276
2019-06-08 07:10:00,22.9252864,23.328529554720173,22.82783051878353,20.68050730455129,21.99339960555084
2019-06-08 07:20:00,22.8849069,23.421448109476927,22.976889286989476,21.15956263211485,22.260169053907408
2019-06-08 07:30:00,22.899905,23.50722273691051,23.10282775102351,21.42815420518054,22.46602515219613
2019-06-08 07:40:00,22.9495141,23.575792711850315,23.202312526435698,21.72870993012881,22.626946763470198
2019-06-08 07:50:00,22.9875862,23.744064430075607,23.456608864014143,22.297259350949425,23.030273414016264
2019-06-08 08:00:00,22.9760492,23.89874694136497,23.695496849746934,22.9666618877012,23.380144595063676
2019-06-08 08:10:00,23.0025843,23.83471796217828,23.57513443300476,22.434861034223815,23.267154321147846
2019-06-08 08:20:00,23.0971877,23.7895090241172,23.47906559056584,22.14333421894911,23.06215790286684
2019-06-08 08:30:00,23.1202617,23.876948044605705,23.605755373217058,22.37055795560662,23.11395592068272
2019-06-08 08:40:00,23.1202617,23.980218124529056,23.74070628931261,22.642368708872567,23.28450615144033
2019-06-08 08:50:00,23.1502579,24.05610614453888,23.82246482847701,22.76949433637887,23.4194988013222
