tiempo,PMV_0001,PPD_0001,PMV_001,PPD_001,PMV_01,PPD_01,PMV_003,PPD_003
2019-05-03 00:00:00,-28.115887564447,100.0,-30.17432647721625,100.0,-32.89402901524146,100.0,-31.169235972763836,100.0
2019-05-03 00:10:00,-28.49441449295543,100.0,-30.43730002043739,100.0,-32.93292091282016,100.0,-31.305207344907743,100.0
2019-05-03 00:20:00,-28.75491155564888,100.0,-30.57980303253672,100.0,-32.66941069320416,100.0,-31.30140000610223,100.0
2019-05-03 00:30:00,-28.97003219074188,100.0,-30.738961477341,100.0,-32.80071610171739,100.0,-31.420691309093986,100.0
2019-05-03 00:40:00,-29.15538278525033,100.0,-30.94083234771662,100.0,-33.258309267534,100.0,-31.68640219636712,100.0
2019-05-03 00:50:00,-29.363136280723456,100.0,-31.224806736227578,100.0,-33.83723958928683,100.0,-32.11377083157076,100.0
2019-05-03 01:00:00,-29.581784850177655,100.0,-31.502635631214456,100.0,-34.35683595768615,100.0,-32.49088071067355,100.0
2019-05-03 01:10:00,-29.7487625344528,100.0,-31.71514502379644,100.0,-34.82968254626786,100.0,-32.7801416752222,100.0
2019-05-03 01:20:00,-30.02216048295425,100.0,-32.08367837339357,100.0,-35.53701931387163,100.0,-33.29722927722035,100.0
2019-05-03 01:30:00,-30.164184797772666,100.0,-32.29735976711378,100.0,-35.93307554093759,100.0,-33.61272607711709,100.0
2019-05-03 01:40:00,-30.30735618438471,100.0,-32.44582205955895,100.0,-35.97222073112733,100.0,-33.75312376561983,100.0
2019-05-03 01:50:00,-30.46892444969512,100.0,-32.53544573140191,100.0,-35.84686490650095,100.0,-33.742422699051104,100.0
2019-05-03 02:00:00,-30.645989268337637,100.0,-32.64941913132884,100.0,-35.81105524524067,100.0,-33.778595291110136,100.0
2019-05-03 02:10:00,-30.77643027337811,100.0,-32.65480860299812,100.0,-35.355603220013826,100.0,-33.59986438712258,100.0
2019-05-03 02:20:00,-30.94160215592827,100.0,-32.69268914376704,100.0,-34.94616028871806,100.0,-33.472522752787455,100.0
2019-05-03 02:30:00,-31.16038808578371,100.0,-32.87922551522432,100.0,-35.23599690191286,100.0,-33.6647761348324,100.0
2019-05-03 02:40:00,-31.33132924336483,100.0,-33.03694432206433,100.0,-35.44034874649966,100.0,-33.83498973960696,100.0
2019-05-03 02:50:00,-31.526292846346212,100.0,-33.22584203138723,100.0,-35.62005439514868,100.0,-34.02915067382783,100.0
2019-05-03 03:00:00,-31.709308891237736,100.0,-33.39837486157415,100.0,-35.858182268968775,100.0,-34.20822514008816,100.0
2019-05-03 03:10:00,-31.86519154687624,100.0,-33.58683928871176,100.0,-36.27194286074782,100.0,-34.463722016097805,100.0
2019-05-03 03:20:00,-32.02216977949684,100.0,-33.73757251130142,100.0,-36.397784374130055,100.0,-34.60715606278724,100.0
2019-05-03 03:30:00,-32.29606089662642,100.0,-34.13572516165347,100.0,-37.394664093102165,100.0,-35.21882141601316,100.0
2019-05-03 03:40:00,-32.61747795541821,100.0,-34.67125956352627,100.0,-38.60513849527094,100.0,-36.05806483371928,100.0
2019-05-03 03:50:00,-32.84116638108781,100.0,-34.9865564146504,100.0,-38.9604585361945,100.0,-36.453605200640744,100.0
2019-05-03 04:00:00,-33.00014760573396,100.0,-35.162133157837005,100.0,-39.21099257392534,100.0,-36.68533806517337,100.0
2019-05-03 04:10:00,-33.131951760748905,100.0,-35.150576871464665,100.0,-38.6595009745677,100.0,-36.438300389556176,100.0
2019-05-03 04:20:00,-33.2570086918141,100.0,-35.109178850958976,100.0,-38.16903534988133,100.0,-36.175182918305495,100.0
2019-05-03 04:30:00,-33.40827197323513,100.0,-35.12416695467317,100.0,-37.80472686520336,100.0,-36.03281909939657,100.0
2019-05-03 04:40:00,-33.48048062683555,100.0,-35.216303344501334,100.0,-38.10745115038608,100.0,-36.200460659121575,100.0
2019-05-03 04:50:00,-33.70977169927196,100.0,-35.56098512446924,100.0,-39.00204009719649,100.0,-36.76854707439101,100.0
2019-05-03 05:00:00,-33.90362695018343,100.0,-35.86060650503189,100.0,-39.70149610540742,100.0,-37.229814464443365,100.0
2019-05-03 05:10:00,-34.28365933677002,100.0,-36.3259024232762,100.0,-40.3568581181737,100.0,-37.77508099269108,100.0
2019-05-03 05:20:00,-34.5333037109169,100.0,-36.5457810613617,100.0,-40.43080396308139,100.0,-37.92870140028136,100.0
2019-05-03 05:30:00,-34.87362762585984,100.0,-36.91730038570363,100.0,-41.19249490989762,100.0,-38.38824465154625,100.0
2019-05-03 05:40:00,-35.10508755990585,100.0,-37.20602976751112,100.0,-41.72398482479931,100.0,-38.787849717654886,100.0
2019-05-03 05:50:00,-35.323777393784205,100.0,-37.4659507319551,100.0,-42.0464005574538,100.0,-39.1081742312829,100.0
2019-05-03 06:00:00,-35.45378901672562,100.0,-37.53394706434664,100.0,-41.83636894874657,100.0,-39.0823312681145,100.0
2019-05-03 06:10:00,-35.500279066947414,100.0,-37.42483269974285,100.0,-41.31382436646463,100.0,-38.77818145938255,100.0
2019-05-03 06:20:00,-35.61860657570397,100.0,-37.44348489442722,100.0,-40.86980695615198,100.0,-38.708190280863725,100.0
2019-05-03 06:30:00,-35.85583875902359,100.0,-37.838821329951735,100.0,-42.29190367863131,100.0,-39.42047208145652,100.0
2019-05-03 06:40:00,-36.006260823545176,100.0,-38.08867729706742,100.0,-42.82767235617384,100.0,-39.79482859017063,100.0
2019-05-03 06:50:00,-35.89350280937453,100.0,-37.72958221566598,100.0,-41.24253720881696,100.0,-39.04633035132777,100.0
