tiempo,PMV_0001,PPD_0001,PMV_001,PPD_001,PMV_01,PPD_01,PMV_003,PPD_003
2019-06-08 00:00:00,-33.23651103085796,100.0,-35.449270185579216,100.0,-40.75929817455218,100.0,-37.41320505058376,100.0
2019-06-08 00:10:00,-33.404086105974976,100.0,-35.60039553689934,100.0,-40.82177542549167,100.0,-37.53999569372447,100.0
2019-06-08 00:20:00,-33.58043107649964,100.0,-35.75213235697184,100.0,-40.91154416631697,100.0,-37.66978652821271,100.0
2019-06-08 00:30:00,-33.74062789919319,100.0,-35.88137165674574,100.0,-40.97529351271539,100.0,-37.77847470406476,100.0
2019-06-08 00:40:00,-33.91327496932217,100.0,-36.02385968723841,100.0,-41.07378100649103,100.0,-37.90917371982977,100.0
2019-06-08 00:50:00,-34.0930385710184,100.0,-36.17719727222555,100.0,-41.20287310973061,100.0,-38.058197823278206,100.0
2019-06-08 01:00:00,-34.27510504840208,100.0,-36.33434031273378,100.0,-41.342319514466496,100.0,-38.21544933227207,100.0
2019-06-08 01:10:00,-34.45610408572028,100.0,-36.48916725354177,100.0,-41.47591918444408,100.0,-38.368587847228966,100.0
2019-06-08 01:20:00,-34.63320751211872,100.0,-36.63830312358159,100.0,-41.60368972277957,100.0,-38.51732186363409,100.0
2019-06-08 01:30:00,-34.80856005601564,100.0,-36.78467606015369,100.0,-41.73204597277692,100.0,-38.664381745285375,100.0
2019-06-08 01:40:00,-35.0287551063647,100.0,-36.996983641114205,100.0,-42.04554809912405,100.0,-38.9147441782388,100.0
2019-06-08 01:50:00,-35.24991091794783,100.0,-37.22104754964845,100.0,-42.364334143379544,100.0,-39.18070402882027,100.0
2019-06-08 02:00:00,-35.46876867777724,100.0,-37.44136534453047,100.0,-42.62610054391275,100.0,-39.42611372777908,100.0
2019-06-08 02:10:00,-35.70949898915071,100.0,-37.70129380750725,100.0,-43.0004670387488,100.0,-39.73128215713462,100.0
2019-06-08 02:20:00,-35.886255637830985,100.0,-37.87406649056636,100.0,-43.13985845120538,100.0,-39.90664886584384,100.0
2019-06-08 02:30:00,-36.02770782446739,100.0,-37.979365950980814,100.0,-43.12958338859789,100.0,-39.98476594880949,100.0
2019-06-08 02:40:00,-36.19849167887482,100.0,-38.11531642863286,100.0,-43.26019922434756,100.0,-40.11748808477624,100.0
2019-06-08 02:50:00,-36.34346106166972,100.0,-38.22531286110803,100.0,-43.326400727207854,100.0,-40.21730569080669,100.0
2019-06-08 03:00:00,-36.49721226281629,100.0,-38.35075080448673,100.0,-43.40528278715693,100.0,-40.33131471297798,100.0
2019-06-08 03:10:00,-36.67818692166542,100.0,-38.51428994815548,100.0,-43.583576649131736,100.0,-40.49640577552369,100.0
2019-06-08 03:20:00,-36.9211499576001,100.0,-38.77508493980886,100.0,-44.02481435845011,100.0,-40.811489122609615,100.0
2019-06-08 03:30:00,-37.12261043311615,100.0,-38.990891935734126,100.0,-44.29067988846853,100.0,-41.05749290923191,100.0
2019-06-08 03:40:00,-37.322130112239485,100.0,-39.19188393382775,100.0,-44.48573141538186,100.0,-41.2654685831812,100.0
2019-06-08 03:50:00,-37.54102512510776,100.0,-39.42269650339148,100.0,-44.80196272590218,100.0,-41.52600209631001,100.0
2019-06-08 04:00:00,-37.77603958602884,100.0,-39.68836627495039,100.0,-45.21067543107822,100.0,-41.84728448142963,100.0
2019-06-08 04:10:00,-38.04221138472111,100.0,-39.99843179807211,100.0,-45.68382981905205,100.0,-42.22434059284899,100.0
2019-06-08 04:20:00,-38.25235961768534,100.0,-40.23450116908862,100.0,-45.931487181807256,100.0,-42.4834401611743,100.0
2019-06-08 04:30:00,-38.45092862703757,100.0,-40.444976986250445,100.0,-46.12179210744449,100.0,-42.69677755041278,100.0
2019-06-08 04:40:00,-38.62213650219644,100.0,-40.60782893941713,100.0,-46.23295767513248,100.0,-42.84221594082295,100.0
2019-06-08 04:50:00,-38.7856115569007,100.0,-40.757839061935385,100.0,-46.34795461875897,100.0,-42.97698362903815,100.0
2019-06-08 05:00:00,-38.92401764997446,100.0,-40.87670054912542,100.0,-46.39460287980418,100.0,-43.07131461556356,100.0
2019-06-08 05:10:00,-39.14434155474983,100.0,-41.11187459811196,100.0,-46.74702959392925,100.0,-43.34128028505562,100.0
2019-06-08 05:20:00,-39.33892202678058,100.0,-41.31845118747937,100.0,-46.98793863023383,100.0,-43.56740822470932,100.0
2019-06-08 05:30:00,-39.46789300808796,100.0,-41.42830141386519,100.0,-46.95168215424018,100.0,-43.63836985237956,100.0
2019-06-08 05:40:00,-39.67198149031432,100.0,-41.63276877248631,100.0,-47.19804202972395,100.0,-43.84827010528503,100.0
2019-06-08 05:50:00,-39.904261303192776,100.0,-41.8854116978874,100.0,-47.58326026187718,100.0,-44.14249606606271,100.0
2019-06-08 06:00:00,-40.10440751065168,100.0,-42.09900592468201,100.0,-47.81185623929223,100.0,-44.37467230144353,100.0
2019-06-08 06:10:00,-40.26739296192345,100.0,-42.26464320216548,100.0,-47.93600972268853,100.0,-44.53659471176906,100.0
2019-06-08 06:20:00,-40.33574802586281,100.0,-42.30356812142617,100.0,-47.8203170156646,100.0,-44.522162005341166,100.0
2019-06-08 06:30:00,-40.36031315552602,100.0,-42.29905005705805,100.0,-47.72547165385802,100.0,-44.47241291786131,100.0
2019-06-08 06:40:00,-40.28651061891343,100.0,-42.1771469656205,100.0,-47.33843425257662,100.0,-44.26127588022961,100.0
2019-06-08 06:50:00,-40.269162889068014,100.0,-42.09535261146297,100.0,-47.03389345502866,100.0,-44.06594692123083,100.0
2019-06-08 07:00:00,-40.28965006030982,100.0,-42.09309344220414,100.0,-47.09281695761848,100.0,-44.0323805705466,100.0
2019-06-08 07:10:00,-40.19395969802176,100.0,-41.97272098502453,100.0,-46.88385250170839,100.0,-43.865639885421295,100.0
2019-06-08 07:20:00,-39.88780115361916,100.0,-41.55281242368481,100.0,-45.77158086166288,100.0,-43.20576109006303,100.0
2019-06-08 07:30:00,-39.71784810530212,100.0,-41.29295590780801,100.0,-45.18206338067611,100.0,-42.77320069721743,100.0
2019-06-08 07:40:00,-39.467681967547335,100.0,-40.98409120100016,100.0,-44.50523178047219,100.0,-42.35022915727052,100.0
2019-06-08 07:50:00,-39.00294691233794,100.0,-40.34509140993207,100.0,-43.18516519745974,100.0,-41.40980741123696,100.0
2019-06-08 08:00:00,-38.58212489866254,100.0,-39.73894472543426,100.0,-41.64714406168196,100.0,-40.54554144599585,100.0
2019-06-08 08:10:00,-38.83195816928088,100.0,-40.07620211292204,100.0,-42.71519600442507,100.0,-40.81392153509518,100.0
2019-06-08 08:20:00,-38.90490949188764,100.0,-40.23013863714729,100.0,-43.24828809238876,100.0,-41.152311639680896,100.0
2019-06-08 08:30:00,-38.60942882098515,100.0,-39.85606982215156,100.0,-42.6807938735929,100.0,-40.9034392403243,100.0
2019-06-08 08:40:00,-38.33663622682626,100.0,-39.50758226841744,100.0,-42.07554415715944,100.0,-40.493160921055306,100.0
2019-06-08 08:50:00,-38.12660212756766,100.0,-39.2667379858028,100.0,-41.75133610381141,100.0,-40.15630350027782,100.0
2019-06-08 09:00:00,-0.1696982714501118,5.596881333918503,-0.3674123136503651,7.810045939443839,-0.6602630881393329,14.15772630634575,-0.4590014547172713,9.397580948345931
2019-06-08 09:10:00,-0.0312085114982473,5.020162572372797,-0.2270568117528759,6.069609408941815,-0.5290073192261253,10.854315347607356,-0.3199792923324416,7.128638795083404
2019-06-08 09:20:00,0.0601033501949089,5.074790860654645,-0.1314440256110753,5.3579284410103725,-0.4141930172217891,8.575999140089905,-0.2194816658159117,5.999287647925186
2019-06-08 09:30:00,0.1851895609872982,5.710999731879468,-0.0065289059247001,5.00088239388343,-0.3346810482579637,7.329617728092686,-0.1056435719013724,5.231144366935325
2019-06-08 09:40:00,0.2601131028148539,6.404664998302167,0.0699354069909603,5.101267526997958,-0.2808682042339996,6.638527198793469,-0.0367817340655221,5.028007323785303
2019-06-08 09:50:00,0.2949355066088554,6.807362473713511,0.1118914064892943,5.2593085126543,-0.1893084164951833,5.743027912974839,0.0173624827541906,5.006240370443422
2019-06-08 10:00:00,0.3392936014059489,7.394563442022829,0.1627391495200285,5.548875162531161,-0.0994409927507388,5.204787551008224,0.0787551648646679,5.128427935514367
2019-06-08 10:10:00,0.3882707264605844,8.140013618145787,0.2151318121290333,5.959993874737279,-0.0434224102671602,5.039034213847131,0.132364379661671,5.362962203892352
2019-06-08 10:20:00,0.4367293638505502,8.978432203155222,0.2676403271139912,6.4873821460089545,0.0315774419590047,5.020642113952448,0.1905472934704817,5.752800057213406
2019-06-08 10:30:00,0.4677755226811073,9.568565549703706,0.2926413941731182,6.779258387654522,-0.0108604926660979,5.002441643142802,0.1966093894191987,5.8015421239094
2019-06-08 10:40:00,0.5115640715610362,10.471535454651288,0.3394635622653335,7.396973786606878,0.0644765473353822,5.086072674524928,0.2487677318420223,6.284494752336556
2019-06-08 10:50:00,0.5706852328407088,11.822274513315136,0.4033248580457847,8.389707564517352,0.1649077681914207,5.563618379739609,0.3214506950606496,7.148340709258235
2019-06-08 11:00:00,0.6362844828813301,13.49844029691944,0.4713900869837764,9.639968979159562,0.2468984880230167,6.265214998946561,0.3924666570420731,8.20863502723742
2019-06-08 11:10:00,0.7020710532262576,15.366775862595064,0.5350694184941616,10.990427952181024,0.2998863518163006,6.868770775566304,0.4507548230787003,9.23989642689878
2019-06-08 11:20:00,0.7554928092065937,17.021385605834524,0.5911307033466784,12.32465703380052,0.384423831261488,8.077761389411052,0.5127164029697305,10.496416450351676
2019-06-08 11:30:00,0.8138386011731229,18.967901637686182,0.6499042709511705,13.869854906250067,0.4579488318136074,9.377290693088781,0.5736506389212842,11.894015409742238
2019-06-08 11:40:00,0.8568085294010956,20.493282168536055,0.6898048580708684,15.004213775353309,0.4813421545453445,9.839476266783294,0.6080548740781239,12.754237958712707
2019-06-08 11:50:00,0.9048646740348184,22.289827178043026,0.7296949088664859,16.20703960595796,0.4859626075459713,9.933553884735701,0.6347817587442386,13.457953465700257
2019-06-08 12:00:00,0.9427580319195096,23.77253321086033,0.7639059234714202,17.293121340211485,0.5106508000922725,10.45185700442042,0.6641583739816237,14.267179191840498
2019-06-08 12:10:00,1.0035361954185076,26.26878162308715,0.8270080037971571,19.42718453239019,0.6093364483421662,12.78727407451386,0.7346553225089584,16.36140400816447
2019-06-08 12:20:00,1.0668916752822448,29.019300515179157,0.8890793438297263,21.689268913917235,0.6868546974649721,14.917983166463216,0.7990200248154867,18.459842929750295
2019-06-08 12:30:00,1.1220035823759005,31.527947794672077,0.9384762429362884,23.602117924803224,0.7268179490266385,16.117995359399817,0.8438239350743959,20.024211648319795
2019-06-08 12:40:00,1.1779566756148225,34.17730572631219,0.9874277643029726,25.59329300174881,0.7640599905604238,17.298125766316687,0.887089540035139,21.614287079486587
2019-06-08 12:50:00,1.2223654586465131,36.34755598946492,1.0318007792075257,27.477646917227688,0.8233064071121466,19.29735483412476,0.9345054932890248,23.44473278326204
2019-06-08 13:00:00,1.2541382977719655,37.93387894148319,1.0614520971835413,28.777419317121044,0.8643437739438221,20.76870280593863,0.9657511145229856,24.70002646801227
2019-06-08 13:10:00,1.2828649829713705,39.39031886560753,1.0828792817314723,29.73626921103292,0.8718847484177349,21.04668280925992,0.9813224448542146,25.339865340031864
2019-06-08 13:20:00,1.326160853453732,41.62158975286264,1.117483063885621,31.318297758602327,0.8943291383339684,21.8878731620931,1.0096995504484572,26.529837344077094
2019-06-08 13:30:00,1.365460924913807,43.68023000414367,1.15683014568172,33.16539000435003,0.948955797178396,24.020490195471652,1.052461932697684,28.3799721973128
2019-06-08 13:40:00,1.4099770518101722,46.04426921671492,1.199002008717386,35.19869244059147,0.998042906382983,26.037317591228206,1.09594192147281,30.328675794790612
