tiempo,PMV_0001EB,PPD_0001EB,PMV_001EB,PPD_001EB,PMV_01EB,PPD_01EB,PMV_003EB,PPD_003EB
2019-05-03 00:00:00,-0.6930903025881776,15.100687137281824,-1.1265047794493028,31.737371986750972,-1.5670478220232371,54.55049912273238,-1.281839742728609,39.33799517826884
2019-05-03 00:10:00,-0.7493761419129239,16.82572392008308,-1.1654182694077597,33.57508863030645,-1.5911431760956904,55.86317045434892,-1.305391548112785,40.54608920741915
2019-05-03 00:20:00,-0.7837239746737334,17.9451627418011,-1.1789718793384016,34.22627436338752,-1.538087451666415,52.97242674750135,-1.2955703690870983,40.04077593009251
2019-05-03 00:30:00,-0.8082428024890175,18.7749586207312,-1.1928266459747365,34.89763400637313,-1.5449416440740695,53.34583983738308,-1.3033316118746425,40.43992481741217
2019-05-03 00:40:00,-0.8266371593969579,19.414151625410383,-1.2129597019802805,35.88319223987003,-1.6066440653934224,56.70680172661432,-1.3338282490068816,42.02089452899705
2019-05-03 00:50:00,-0.8482976300986245,20.185032708635617,-1.246137077787753,37.53189609948529,-1.7055444802010833,62.04830179544542,-1.3897814971182003,44.96796346938351
2019-05-03 01:00:00,-0.8722632015587495,21.06069538865303,-1.2790565388841997,39.19607829723395,-1.7761706484311364,65.78249062322195,-1.4390279279513485,47.60216307798673
2019-05-03 01:10:00,-0.8900240429427783,21.72492468783318,-1.303645535232242,40.45609766424446,-1.8324573944979436,68.68418706352402,-1.4760062873945747,49.59861973119868
2019-05-03 01:20:00,-0.9210430362234868,22.91581547150807,-1.3489699372111856,42.81284331871277,-1.915913047559348,72.82666211326094,-1.531153787564012,52.59478752222894
2019-05-03 01:30:00,-0.9341912493167868,23.432304159710316,-1.37292749237353,44.07453100856673,-1.9958944896440087,76.57595439081075,-1.5995311898576932,56.319797914971694
2019-05-03 01:40:00,-0.9453879066193016,23.877562404678244,-1.3841054659801089,44.66656750549248,-1.9926576305199415,76.42894335947224,-1.6139834766679053,57.10589159592508
2019-05-03 01:50:00,-0.9605926640665028,24.490140125915588,-1.387248746628284,44.83341267674644,-1.9561649458840935,74.7432290096982,-1.5919545439934841,55.90734986528539
2019-05-03 02:00:00,-0.9782029246713152,25.210929947204534,-1.394208513999684,45.20338289907529,-1.939538007284556,73.95855359761677,-1.583955804287593,55.47173454848303
2019-05-03 02:10:00,-0.9880888333025792,25.62081937639539,-1.3834272304337092,44.63058731152998,-1.85647836242532,69.8978165970232,-1.5428531939593537,53.23205316916631
2019-05-03 02:20:00,-1.0008151322039036,26.153984546713676,-1.3748362224244517,44.17548054798243,-1.7744359267257537,65.69190307293059,-1.5058809389717644,51.21969584718049
2019-05-03 02:30:00,-1.0221096492968738,27.05980629505179,-1.3903239172298396,44.99679211496544,-1.807913276323016,67.42827362886666,-1.5215498010330928,52.071941073953134
2019-05-03 02:40:00,-1.0368034269767437,27.694695491730883,-1.402214634707771,45.62987640309724,-1.8297173160181004,68.5447481969692,-1.535603515514804,52.83712656312774
2019-05-03 02:50:00,-1.0569688513534805,28.57885670540874,-1.42059573212947,46.6124758779105,-1.8487546418539016,69.5093380279427,-1.5554075228346433,53.91614184324144
2019-05-03 03:00:00,-1.0758727335203355,29.420953688277574,-1.4369305622186896,47.48934548974295,-1.8777897650533568,70.96067420517386,-1.5732478752093428,54.888356225030655
2019-05-03 03:10:00,-1.0904588339875891,30.07929437268361,-1.4558883141388637,48.51081432594179,-1.9355917351714356,73.77084810692632,-1.603633663410852,56.54303481586365
2019-05-03 03:20:00,-1.1081242423346718,30.886422492849007,-1.4717384018478346,49.36755569696959,-1.9473156264863216,74.32685879993,-1.6178716901440395,57.3172064107328
2019-05-03 03:30:00,-1.141217830465487,32.426527673815286,-1.5241394551800564,52.21289290396428,-2.1040340465676652,81.23257625341228,-1.7071696453094112,62.13516678242839
2019-05-03 03:40:00,-1.18324497163261,34.43272705366927,-1.600483052630541,56.37159967099607,-2.301019147568173,88.29292838898975,-1.8374049255855864,68.93545268034741
2019-05-03 03:50:00,-1.20882252522431,35.67972294496761,-1.6404791978138584,58.54400033922597,-2.366967955031192,90.21715686900885,-1.8932404367788596,71.72257199826032
2019-05-03 04:00:00,-1.2340177252512305,36.92619992435368,-1.6661758271967189,59.93347975665098,-2.383409546772945,90.66227418345416,-1.921536483759283,73.09784409404291
2019-05-03 04:10:00,-1.243560016086683,37.402777009285046,-1.649577168498885,59.03663094152965,-2.27805829941049,87.57061604656383,-1.8671965317110863,70.4340504124557
2019-05-03 04:20:00,-1.2490428425755584,37.677691444172126,-1.6271222210333405,57.81959771019743,-2.183957779778797,84.32972249748276,-1.8097416904993997,67.52235523177984
2019-05-03 04:30:00,-1.2599039205590372,38.22455862979712,-1.6179886777146535,57.32356310946656,-2.1089679877979735,81.43259380543398,-1.7750107404514353,65.7219270395149
2019-05-03 04:40:00,-1.263336166346283,38.3979959715547,-1.6262477764521306,57.772129812993214,-2.1247808744819214,82.06594815116352,-1.7939834556853516,66.70888252146497
2019-05-03 04:50:00,-1.2910845435182157,39.81069713424761,-1.6742823205307968,60.37046911079237,-2.284664514184586,87.7812091704016,-1.878903318675405,71.01583425109023
2019-05-03 05:00:00,-1.3130307846512113,40.94060647041566,-1.713885729123001,62.49372986124628,-2.398934133798877,91.06999096638148,-1.9470082049605375,74.31234264111579
2019-05-03 05:10:00,-1.3628161216403216,43.54079185144358,-1.7742088208414697,65.68003883679138,-2.482474759437408,93.05789499843948,-2.0226941969687373,77.77679877531943
