"ESOLMET-CIE | Temixco, Mor.; Longitud:99º14';  Latitud:18º51';  Altitud:1219 msnm;  ",,,,,,,,
,Irradiancia,,,,,,,
Fecha,Directa,Global,Difusa,UV,Temperatura,Humedad,Viento Vel.,Presiòn Bar.
aaaa/mm/dd hh:mm:ss,W/m^2,W/m^2,W/m^2,W/m^2,ºC,%,m/s,mbar
,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg
03/05/2019 00:00,0,0,0,0.186,23.02,47.67,3.463,876.0016
03/05/2019 00:10,0,0,0,0.183,22.95,48.15,2.541,875.9597
03/05/2019 00:20,0,0,0,0.184,23.01,47.78,1.763,875.8949
03/05/2019 00:30,0,0,0,0.183,22.83,47.67,2.161,875.8536
03/05/2019 00:40,0,0,0,0.185,22.69,48.32,1.409,875.6332
03/05/2019 00:50,0,0,0,0.185,22.62,48.66,1.141,875.6904
03/05/2019 01:00,0,0,0,0,22.46,48.39,1.597,875.5177
03/05/2019 01:10,0,0,0,0,22.39,48.76,1.76,875.4866
03/05/2019 01:20,0,0,0,0,22.33,48.87,0.576,875.4692
03/05/2019 01:30,0,0,0,0.264,22.35,48.19,0.416,875.4123
03/05/2019 01:40,0.006,0,0,0.214,22.45,48.15,0.343,875.2319
03/05/2019 01:50,0.012,0,0,0.187,22.31,49.34,1.128,874.9625
03/05/2019 02:00,0.009,0,0,0.187,22.08,49.55,1.365,874.7244
03/05/2019 02:10,0,0,0,0,22.01,49.34,1.278,874.7996
03/05/2019 02:20,0.008,0,0,0.206,21.97,49,1.63,874.7496
03/05/2019 02:30,0,0,0,0.177,21.91,48.87,1.681,874.7173
03/05/2019 02:40,0,0,0,0.174,21.86,49.75,1.209,874.7333
03/05/2019 02:50,0.036,0,0,0.166,21.74,50.47,2.029,874.5947
03/05/2019 03:00,0.005,0,0,0.16,21.72,49.79,1.816,874.6262
03/05/2019 03:10,0.075,0,0,0.154,21.75,50.23,2.035,874.7007
03/05/2019 03:20,0.004,0,0,0.15,21.52,49.51,2.194,874.6106
03/05/2019 03:30,0.015,0,0,0.151,21.37,50.43,2.02,874.5868
03/05/2019 03:40,0,0,0,0.147,21.11,49.24,2.005,874.2914
03/05/2019 03:50,0.001,0,0,0.143,21.18,48.8,2.226,874.6113
03/05/2019 04:00,0.043,0,0,0.138,21.05,50.23,2.505,874.6273
03/05/2019 04:10,0.001,0,0,0,20.77,50.57,2.536,874.3488
03/05/2019 04:20,0,0,0,0,20.88,50.67,2.006,874.2836
03/05/2019 04:30,0,0,0,0.134,20.83,50.71,1.814,874.2339
03/05/2019 04:40,0.148,0,0,0.128,21.06,51.22,1.97,874.1946
03/05/2019 04:50,0,0,0,0.126,20.75,51.08,1.699,874.4064
03/05/2019 05:00,0,0,0,0.122,20.79,52.89,1.571,874.4394
03/05/2019 05:10,0,0,0,0.118,20.13,53.26,1.481,874.5367
03/05/2019 05:20,0,0,0,0.118,20.06,55.17,2.071,874.4146
03/05/2019 05:30,0,0,0,0.114,19.55,55.78,2.381,874.3083
03/05/2019 05:40,0.009,0,0,0.108,19.6,56.02,2.113,874.4396
03/05/2019 05:50,0.04,0,0,0.103,19.53,56.23,1.91,874.4882
03/05/2019 06:00,0.085,0,0,0.099,19.62,55.82,2.22,874.8155
03/05/2019 06:10,0.155,0,0,0.096,19.85,55.24,1.651,874.8389
03/05/2019 06:20,0,7.96,1.824,0.091,19.56,57.05,1.613,874.5622
03/05/2019 06:30,15.3,13.67,9.63,0.094,19.41,56.43,1.154,874.693
03/05/2019 06:40,61.87,30.03,20.3,0.087,19.45,56.77,1.644,874.8558
03/05/2019 06:50,94.9,49.3,31.65,0.082,19.83,53.84,1.689,874.9375
03/05/2019 07:00,142.7,74.75,43.26,0.077,20.1,56.3,1.823,874.9877
03/05/2019 07:10,177.7,101.3,54.53,0.072,20.09,53.64,2.316,874.9791
03/05/2019 07:20,214.5,131,65.97,0.065,20.69,52.79,2.158,875.093
03/05/2019 07:30,259.1,166.9,77.64,0.062,21.17,50.91,1.5,875.0775
03/05/2019 07:40,286.5,199.1,88.2,0.057,21.97,48.63,0.231,875.3066
03/05/2019 07:50,321.8,235.5,98.1,0.056,22.91,44.68,0,875.4286
03/05/2019 08:00,358.4,273.9,106.6,0.055,24.26,44.51,0.586,875.3793
03/05/2019 08:10,386.7,311.5,114.5,0.057,24.27,43.79,1.163,875.633
03/05/2019 08:20,425.9,355.2,122.5,0.06,24.43,44.16,1.006,875.4698
03/05/2019 08:30,452.5,393.7,129.4,0.067,24.72,42.94,1.069,875.478
03/05/2019 08:40,477.8,432,136,0.076,25.09,42.87,0.597,875.3165
03/05/2019 08:50,494.3,468.1,143.7,0.089,25.44,40.72,0.487,875.5524
03/05/2019 09:00,510.5,506.5,152,0.092,25.92,40.45,1.417,875.5606
03/05/2019 09:10,525.6,540.8,157.8,0.096,26.25,40.24,1.32,875.6935
03/05/2019 09:20,540.2,573.2,158.5,0.098,26.31,39.63,1.35,875.6775
03/05/2019 09:30,568.2,615.9,165,0,26.38,39.59,1.462,875.7485
03/05/2019 09:40,592.3,656.4,168.6,0.119,26.43,40.51,2.368,875.7704
03/05/2019 09:50,608.9,693.3,173.9,0,25.89,40.13,2.484,875.6724
03/05/2019 10:00,605.6,708.7,174.4,0,26.25,38.33,2.175,875.6083
03/05/2019 10:10,649,760,176,0,26.89,38.57,2.121,875.6271
03/05/2019 10:20,661.7,789.5,178.3,0,27.17,36.93,2.494,875.7897
03/05/2019 10:30,673.2,816,179.2,0.126,27.31,37.14,1.792,875.5891
03/05/2019 10:40,682.8,841,180.5,0.132,27.44,34.68,1.458,875.617
03/05/2019 10:50,694.7,869,181.8,0.129,27.61,35.64,2.124,875.7584
03/05/2019 11:00,700.5,891,184.5,0.133,28.52,34.68,1.897,875.4444
03/05/2019 11:10,704.1,913,187.7,0,27.98,32.88,2.262,875.5632
03/05/2019 11:20,700.4,924,191.3,0.136,29.13,33.63,1.849,875.4098
03/05/2019 11:30,699.4,938,194.3,0,29.2,31.28,1.66,875.3933
03/05/2019 11:40,697.3,953,199.7,0.136,29.9,30.49,2.077,875.1425
03/05/2019 11:50,696.5,962,202.6,0.137,30.53,29.16,1.307,874.9567
03/05/2019 12:00,697.1,972,204,0,31.37,29.33,0.89,874.9668
03/05/2019 12:10,683.5,972,205,0.142,30.82,29.64,1.433,874.6983
03/05/2019 12:20,679.6,982,208.6,0.143,30.6,29.3,2.473,874.3267
03/05/2019 12:30,667.4,982,212.7,0.139,30.79,29.06,1.356,874.3049
03/05/2019 12:40,625.4,985,215.7,0.144,30.93,27.39,1.061,874.1316
03/05/2019 12:50,206.9,972,220.6,0,31.55,27.05,1.244,873.9674
03/05/2019 13:00,304.8,978,223.7,0,31.84,26.98,2.002,873.6177
03/05/2019 13:10,683.5,973,229.7,0.144,31.97,28.24,1.47,873.6633
03/05/2019 13:20,677.6,973,235.4,0.146,31.77,27.56,2.544,873.5605
03/05/2019 13:30,673.3,972,243.3,0.143,31.61,26.98,1.74,873.3656
03/05/2019 13:40,665.8,982,264.8,0,32.85,25.65,1.426,873.0875
03/05/2019 13:50,507,897,313.1,0.169,33.5,26.03,1.729,873.0559
03/05/2019 14:00,50.6,440.9,301.6,0,31.83,26.88,1.816,872.7167
03/05/2019 14:10,229.7,635.8,330,0.159,32.41,26.1,1.838,872.3773
03/05/2019 14:20,554.3,902,310.1,0.156,32.83,25.59,1.677,872.1845
03/05/2019 14:30,546.8,875,306,0.156,33.69,24.39,1.755,872.007
03/05/2019 14:40,475,811,306.6,0.155,32.89,24.8,3.152,871.5797
03/05/2019 14:50,486.4,822,320.3,0.157,33.34,24.87,2.085,871.5168
03/05/2019 15:00,482.1,848,347.2,0.165,33.9,24.16,2.501,871.3065
03/05/2019 15:10,349.7,685.7,310.9,0.173,33.63,25.04,3.537,871.2366
03/05/2019 15:20,321.8,660.4,319.7,0.171,32.91,25.01,3.92,871.134
03/05/2019 15:30,299.3,579.8,274.8,0.175,33.34,24.09,3.323,871.1312
03/05/2019 15:40,227.3,412.4,196.6,0.171,33.48,21.97,3.534,871.1135
03/05/2019 15:50,0.011,143.1,121.4,0.153,32.87,22.93,4.034,871.2399
03/05/2019 16:00,0.001,95.8,83,0.168,32.63,27.83,3.309,871.2189
03/05/2019 16:10,0,73.74,60.94,0.169,30.9,28.45,7.186,871.4355
03/05/2019 16:20,0,59.75,49.32,0.162,29.38,26.1,10.3,871.2995
03/05/2019 16:30,0.005,44.57,37.39,0.152,29.02,28.89,9.89,871.3776
03/05/2019 16:40,0.032,51.08,43.15,0.153,28.42,29.06,5.347,871.1516
03/05/2019 16:50,1.622,72.31,61.68,0.162,29.16,29.06,3.342,870.8925
03/05/2019 17:00,0.061,119.3,100.8,0.16,28.04,37.48,4.646,870.698
03/05/2019 17:10,0.011,161.3,131.9,0.156,26.76,44.32,4.275,870.5632
03/05/2019 17:20,0.131,140.9,117,0.153,26.77,41.43,4.096,870.405
03/05/2019 17:30,0.396,109.9,94.2,0.147,27.46,37.99,4.161,870.24
03/05/2019 17:40,0.396,114.8,98.2,0.146,28.05,36.9,3.834,870.0775
03/05/2019 17:50,0.682,100.7,85.8,0.144,28.29,39.73,3.954,870.0689
03/05/2019 18:00,0.96,111.1,93.6,0.144,28.11,39.83,4.172,870.1786
03/05/2019 18:10,0.184,85.8,72.01,0.143,28.37,39.08,3.909,869.8821
03/05/2019 18:20,0.051,47.91,39.85,0.142,28.26,39.7,3.13,869.8366
03/05/2019 18:30,0.779,40.69,33.48,0.14,28.12,41.54,2.888,869.9977
03/05/2019 18:40,2.679,31.45,26.09,0.142,27.86,41.5,2.985,870.2357
03/05/2019 18:50,0.009,15.44,12.42,0.142,27.78,42.11,1.57,870.1848
03/05/2019 19:00,0,5.189,3.824,0,27.67,42.79,1.294,870.3495
03/05/2019 19:10,0,0.108,0.043,0.143,27.42,45.45,1.723,870.2282
03/05/2019 19:20,0,0,0,0.144,27,45.69,1.658,870.2873
03/05/2019 19:30,0,0,0,0.148,26.85,46.55,2.258,870.4874
03/05/2019 19:40,0,0,0,0.147,26.56,47.13,2.581,870.4758
03/05/2019 19:50,0,0,0,0.145,26.28,47.13,2.59,870.541
03/05/2019 20:00,0,0,0,0.145,26.05,45.8,3.733,870.502
03/05/2019 20:10,0.159,0,0,0.144,26.34,41.98,3.826,870.6831
03/05/2019 20:20,0,0,0,0.145,26.12,43.31,2.718,870.9885
03/05/2019 20:30,0.024,0,0,0.146,26.04,42.08,1.157,871.1369
03/05/2019 20:40,0.044,0,0,0.147,26.16,43.41,0.528,871.3695
03/05/2019 20:50,0.044,0,0,0,25.91,41.88,1.298,871.3716
03/05/2019 21:00,0.016,0,0,0.174,26.14,42.29,0.858,871.4608
03/05/2019 21:10,0,0,0,0.172,25.89,44.06,2.201,871.6307
03/05/2019 21:20,0,0,0,0.171,25.32,42.97,2.613,871.6579
03/05/2019 21:30,0,0,0,0.173,25.33,42.6,2.593,871.83
03/05/2019 21:40,0.055,0,0,0.173,25.42,43.41,1.958,872.0192
03/05/2019 21:50,0,0,0,0.172,25.17,44.44,0.978,872.1941
03/05/2019 22:00,0.006,0,0,0.174,25.11,42.05,0.124,872.2704
03/05/2019 22:10,0.285,0,0,0.217,25.64,39.84,1,872.5339
03/05/2019 22:20,0.326,0,0,0.19,25.47,41.61,1.695,872.7787
03/05/2019 22:30,0.001,0,0,0.185,24.98,43.35,1.579,872.7958
03/05/2019 22:40,0.369,0,0,0.189,24.96,40.59,2.556,872.9177
03/05/2019 22:50,0.233,0,0,0.188,25.28,38.92,2.065,873.0407
03/05/2019 23:00,0.089,0,0,0.187,25.37,38.98,1.505,873.0328
03/05/2019 23:10,0.061,0,0,0.188,25.42,38,1.529,873.2784
03/05/2019 23:20,0.183,0,0,0.19,25.41,38.61,1.894,873.3834
03/05/2019 23:30,0.388,0,0,0.191,25.47,37.79,2.918,873.2615
03/05/2019 23:40,0.24,0,0,0.192,25.53,37.38,2.277,873.2457
03/05/2019 23:50,0.032,0,0,0.193,25.63,36.5,0.932,873.5884
04/05/2019 00:00,0,0,0,0.194,25.4,39.9,1.667,873.441
04/05/2019 00:10,0.001,0,0,0.195,24.99,39.43,2.459,873.5557
04/05/2019 00:20,0,0,0,0.197,24.85,40.31,2.115,873.4822
04/05/2019 00:30,0.003,0,0,0.198,24.59,41.64,2.949,873.3023
04/05/2019 00:40,0.157,0,0,0.199,24.68,40.96,2.605,873.3593
04/05/2019 00:50,0.001,0,0,0.201,24.7,40.21,2.596,873.3848
04/05/2019 01:00,0.053,0,0,0.202,24.74,39.73,2.363,873.4814
04/05/2019 01:10,0,0,0,0.201,24.65,39.53,1.312,873.2043
04/05/2019 01:20,0,0,0,0.185,24.66,40.59,0.499,873.237
04/05/2019 01:30,0,0,0,0.185,24.56,39.6,0.517,873.2537
04/05/2019 01:40,0,0,0,0.188,24.58,39.87,1.025,873.1544
04/05/2019 01:50,0,0,0,0.188,24.5,39.9,0.776,873.1468
04/05/2019 02:00,0,0,0,0.189,24.28,41.2,0.944,873.0485
04/05/2019 02:10,0.153,0,0,0.213,23.92,41.71,1.708,873.0156
04/05/2019 02:20,0.1,0,0,0.212,23.65,43.48,1.835,872.9431
04/05/2019 02:30,0.116,0,0,0.196,23.4,43.69,1.844,872.7623
04/05/2019 02:40,0,0,0,0.194,23.29,44.54,2.01,872.8932
04/05/2019 02:50,0,0,0,0.192,22.84,45.8,1.61,872.8435
04/05/2019 03:00,0,0,0,0.191,22.36,48.46,2.119,872.3862
04/05/2019 03:10,0,0,0,0.191,22.06,51.52,2.027,872.4026
04/05/2019 03:20,0,0,0,0.191,21.77,51.05,2.396,872.4768
04/05/2019 03:30,0,0,0,0.19,21.57,51.76,2.115,872.5983
04/05/2019 03:40,0.108,0,0,0.19,21.66,48.01,1.965,872.5341
04/05/2019 03:50,0.215,0,0,0.193,21.91,51.15,2.273,872.5748
04/05/2019 04:00,0,0,0,0.191,21.43,51.12,1.905,872.7537
04/05/2019 04:10,0.046,0,0,0.188,21.29,49.92,2.264,872.444
04/05/2019 04:20,0.365,0,0,0.185,21.69,48.87,2.355,872.5084
04/05/2019 04:30,0.114,0,0,0.179,21.72,49.68,2.106,872.5015
04/05/2019 04:40,0,0,0,0.175,21.29,51.25,1.997,872.5333
04/05/2019 04:50,0.015,0,0,0.175,21.1,50.13,2.108,872.796
04/05/2019 05:00,0.03,0,0,0.169,21.17,51.59,2.151,872.7455
04/05/2019 05:10,0,0,0,0.169,20.81,52.62,2.361,872.8943
04/05/2019 05:20,0,0,0,0.166,20.67,53.71,2.01,873.1058
04/05/2019 05:30,0,0,0,0.164,20.26,55.07,2.08,873.098
04/05/2019 05:40,0.038,0,0,0.18,20.29,54.39,1.908,873.0073
04/05/2019 05:50,0.335,0,0,0.181,20.71,52.92,1.951,872.8936
04/05/2019 06:00,0.312,0,0,0.153,20.84,51.52,1.679,872.918
04/05/2019 06:10,0.267,0.001,0,0.143,21.01,49.89,1.13,872.9503
04/05/2019 06:20,0.148,3.562,2.832,0.139,21.07,51.87,0.475,873.1885
04/05/2019 06:30,6.096,14.25,11.28,0,20.9,51.66,0.49,873.5073
04/05/2019 06:40,38.31,32.67,24.65,0.139,21.13,49.75,1.269,873.3514
04/05/2019 06:50,73.32,54.77,37.95,0.139,21.14,51.32,1.876,873.72
04/05/2019 07:00,108.1,79.5,51.26,0.136,21.09,51.73,2.084,873.8505
04/05/2019 07:10,122.3,98.4,61.72,0.137,21.41,50.78,1.854,873.9399
04/05/2019 07:20,65.3,105.7,74.81,0.136,21.77,49.99,1.453,873.9402
04/05/2019 07:30,91,143.2,98.1,0.134,22.18,49.75,1.208,873.8825
04/05/2019 07:40,173.9,207.2,125.9,0.132,22.52,46.99,1.203,874.0062
04/05/2019 07:50,164.4,213.3,128,0.13,23.23,43.76,0.947,874.079
04/05/2019 08:00,170.3,221.4,126.5,0.128,23.75,43.79,0.18,874.1451
04/05/2019 08:10,42.11,176.2,130.4,0.128,24.15,40.76,0.074,874.3088
04/05/2019 08:20,79.88,239.5,166.9,0,24.83,38.98,0.012,874.1603
04/05/2019 08:30,49.86,256.4,189.5,0.135,25.41,39.39,0.486,874.2101
04/05/2019 08:40,172.6,331.9,196.5,0.138,25.8,38.34,0.337,874.2301
04/05/2019 08:50,44.2,265.8,198.1,0.138,25.93,37.59,0.705,874.6655
04/05/2019 09:00,42.78,244.6,179.5,0,25.25,38.74,1.673,874.3961
04/05/2019 09:10,84.7,281.9,182.2,0.258,25.03,39.25,1.217,874.638
04/05/2019 09:20,91.9,325.7,209.1,0.168,25.53,37.72,1.546,874.9123
04/05/2019 09:30,79.85,326,209.5,0.16,25.38,37.42,1.842,874.9578
04/05/2019 09:40,86,368.8,236.4,0.16,25.57,37.89,1.449,874.9363
04/05/2019 09:50,94.7,412.3,263.6,0.167,25.85,37.14,1.532,874.8424
04/05/2019 10:00,12.3,360.7,288.7,0.166,26.42,35.68,1.022,874.5784
04/05/2019 10:10,13.32,365.6,292.5,0.172,26.7,35.67,1.427,874.6199
04/05/2019 10:20,68.32,430,297.9,0.17,26.97,34.82,1.056,874.4285
04/05/2019 10:30,104.6,549.8,354.8,0.168,27.25,34.07,1.139,874.4359
04/05/2019 10:40,84.7,442.6,292.4,0.167,27.79,33.66,0.991,874.4045
04/05/2019 10:50,277.2,673.3,331.2,0.18,28.24,32.37,0.844,874.4192
04/05/2019 11:00,537.5,915,343.6,0.169,28.61,31.48,1.196,874.1667
04/05/2019 11:10,318.9,728.3,329.2,0.167,29.49,30.53,0.616,874.0025
04/05/2019 11:20,605.5,917,284,0.166,30.24,29.2,1.079,874.25
04/05/2019 11:30,637.1,928,260.2,0.166,30.22,30.25,0.959,873.8797
04/05/2019 11:40,536.4,899,294.9,0.166,30.18,30.7,2.235,873.9676
04/05/2019 11:50,349,738.9,300.6,0.166,29.99,29.74,1.717,873.6965
04/05/2019 12:00,525.7,926,329.4,0.166,30.33,28.89,1.678,873.6859
04/05/2019 12:10,623.2,1049,360.3,0.168,31.18,28.58,2.039,873.1674
04/05/2019 12:20,422.2,876,363.3,0.17,31.35,28.01,1.149,873.0064
04/05/2019 12:30,137.5,678.5,417.9,0.17,31.46,25.89,1.498,873.259
04/05/2019 12:40,65.97,594.5,414.9,0.173,31.46,26.27,1.336,873.2183
04/05/2019 12:50,303.7,832,422,0.361,31.64,25.69,1.163,872.7493
04/05/2019 13:00,288,808,413.6,0,32.18,25.96,1.535,872.6432
04/05/2019 13:10,146.3,655.6,401,0.523,32.22,25.48,1.372,872.7232
04/05/2019 13:20,54.35,528.3,379.2,0.49,32.08,25.04,1.471,872.2881
04/05/2019 13:30,16.9,445.2,340,0.483,32.08,24.53,1.426,872.3531
04/05/2019 13:40,24.07,404.4,299.1,0.491,32.1,24.32,0.62,872.3839
04/05/2019 13:50,390,882,385.1,0.467,32.72,24.19,0.876,872.2483
04/05/2019 14:00,296.7,750.7,363,0.555,32.68,24.53,1.318,871.9277
04/05/2019 14:10,265.8,721.3,355.3,0.513,32.23,24.15,0.964,871.6779
04/05/2019 14:20,198.4,572.8,297.3,0.334,32.16,24.32,1.674,871.6242
04/05/2019 14:30,85,415,267.3,0.315,32.07,24.43,1.368,871.293
04/05/2019 14:40,54.02,404.8,287.5,0.313,32.16,25.52,1.622,871.0765
04/05/2019 14:50,178.4,552.6,307.8,0.32,32.11,24.6,2.412,870.4497
04/05/2019 15:00,467.1,759.3,288.2,0.326,32.88,23.61,1.834,870.623
04/05/2019 15:10,544.2,785.5,271.9,0.367,33.73,23.51,1.707,870.5197
04/05/2019 15:20,489.2,723.9,265.2,0.316,33.52,22.79,1.835,870.2945
04/05/2019 15:30,454.6,678.2,261.1,0.303,33.65,22.45,1.039,870.2145
04/05/2019 15:40,132.5,399.3,232.8,0.302,33.4,23.4,1.792,870.1415
04/05/2019 15:50,102,376.3,239.7,0.286,32.75,22.79,1.178,869.7357
04/05/2019 16:00,203.5,469.2,258.2,0.282,33.69,22.28,1.128,869.8077
04/05/2019 16:10,68.52,304,207.8,0.28,33.97,23.34,1.188,869.8517
04/05/2019 16:20,4.071,223.7,181.5,0.277,33.48,24.16,0.909,869.7813
04/05/2019 16:30,208.8,370.9,194.8,0.277,33.31,23.54,0.734,869.7786
04/05/2019 16:40,48.7,236.7,173.4,0.278,33,24.19,1.501,869.7829
04/05/2019 16:50,2.677,136.8,114.4,0.278,32.82,23.71,0.82,869.6446
04/05/2019 17:00,6.51,130.3,105.8,0.278,32.56,23.71,0.951,869.2995
04/05/2019 17:10,18.18,152.7,118.1,0.286,32.61,24.36,0.808,869.4164
04/05/2019 17:20,52.25,196.1,142.1,0.281,32.71,23.92,0.832,869.421
04/05/2019 17:30,56.64,205.9,151.8,0.285,32.79,24.16,0.959,869.0596
04/05/2019 17:40,45.74,166.7,125.3,0.287,32.97,23.95,0.865,869.3536
04/05/2019 17:50,7.276,106.1,86.7,0.293,32.64,24.12,1.106,869.215
04/05/2019 18:00,0,71.12,59.24,0.293,32.48,24.22,1.112,869.2904
04/05/2019 18:10,22.89,70.57,54.69,0.297,32.34,24.19,1.107,869.4584
04/05/2019 18:20,19.97,66.97,52.61,0.303,32.29,24.09,1.288,869.3298
04/05/2019 18:30,2.018,47.5,38.54,0.301,32.19,24.77,0.805,869.2392
04/05/2019 18:40,0,35.02,28.5,0.298,31.99,24.53,0.872,869.493
04/05/2019 18:50,0,21.78,17.93,0.307,31.8,25.45,0.994,869.6995
04/05/2019 19:00,0,4.745,3.458,0.305,31.43,26.13,1.381,869.905
04/05/2019 19:10,0,0,0,0.312,31.05,27.46,1.566,869.7245
04/05/2019 19:20,0,0,0,0.327,30.5,29.47,1.795,869.7745
04/05/2019 19:30,0,0,0,0.382,30,31.45,2.013,869.7404
04/05/2019 19:40,0,0,0,0.403,29.64,32.33,2.53,870.1719
04/05/2019 19:50,0,0,0,0.435,29.55,32.71,2.61,870.0485
04/05/2019 20:00,0,0,0,0.441,29.25,33.32,2.036,870.0378
04/05/2019 20:10,0,0,0,0.447,29.09,33.05,1.253,870.1205
04/05/2019 20:20,0,0,0,0.457,28.94,33.22,0.155,870.2515
04/05/2019 20:30,0,0,0,0.461,28.88,32.74,0.212,870.4416
04/05/2019 20:40,0.098,0,0,0.457,28.83,32.78,0.779,870.4411
04/05/2019 20:50,0.057,0,0,0.462,28.43,35.2,1.357,870.5277
04/05/2019 21:00,0,0,0,0.455,27.99,34.38,0.925,870.6818
04/05/2019 21:10,0.014,0,0,0.469,28.04,35.37,1.11,870.8161
04/05/2019 21:20,0.001,0,0,0.509,27.54,35.71,1.02,870.9315
04/05/2019 21:30,0.207,0,0,0.492,27.89,34.79,2.025,871.1475
04/05/2019 21:40,0.086,0,0,0.47,27.85,33.46,1.089,871.3081
04/05/2019 21:50,0.042,0,0,0.492,27.83,34.38,0.688,871.4901
04/05/2019 22:00,0,0,0,0.493,27.62,34.96,1.065,871.7061
04/05/2019 22:10,0.104,0,0,0.479,27.4,35.71,1.468,871.858
04/05/2019 22:20,0,0,0,0.473,27.07,39.12,1.033,872.0776
04/05/2019 22:30,0,0,0,0.502,26.68,39.29,0.458,872.2704
04/05/2019 22:40,0.026,0,0,0.551,26.55,37.79,0.482,872.5767
04/05/2019 22:50,0.055,0,0,0.554,26.82,34.79,0.059,872.6628
04/05/2019 23:00,0.173,0,0,0.567,26.98,34.01,0.847,872.7969
04/05/2019 23:10,0.111,0,0,0.582,26.88,34.38,1.221,872.9324
04/05/2019 23:20,0.224,0,0,0.598,26.94,31.86,1.483,873.0363
04/05/2019 23:30,0.141,0,0,0.609,26.78,34.59,1.578,873.2846
04/05/2019 23:40,0.104,0,0,0.622,26.23,34.93,1.715,873.3264
04/05/2019 23:50,0.061,0,0,0.61,26.19,35.58,1.753,873.3638
05/05/2019 00:00,0,0,0,0.587,25.94,35.54,2.031,873.4955
05/05/2019 00:10,0,0,0,0.64,26.07,34.45,1.102,873.5496
05/05/2019 00:20,0.023,0,0,0.652,26.07,34.28,1.353,873.5457
05/05/2019 00:30,0.001,0,0,0.664,26.19,35.13,1.024,873.4608
05/05/2019 00:40,0.005,0,0,0.673,25.82,33.84,1.464,873.6909
05/05/2019 00:50,0.26,0,0,0.679,25.93,34.42,2.111,873.5144
05/05/2019 01:00,0,0,0,0.695,25.66,34.96,1.428,873.5957
05/05/2019 01:10,0,0,0,0.707,25.32,36.43,1.571,873.6377
05/05/2019 01:20,0,0,0,0.699,24.85,37.89,0.556,873.4959
05/05/2019 01:30,0,0,0,0.71,24.1,40.42,1.803,873.6195
05/05/2019 01:40,0,0,0,0.719,23.72,41.68,2.795,873.5627
05/05/2019 01:50,0.009,0,0,0.74,23.43,40.72,2.785,873.4255
05/05/2019 02:00,0,0,0,0.71,23.42,41.71,2.468,873.6613
05/05/2019 02:10,0.118,0,0,0.663,23.4,41.4,2.734,873.376
05/05/2019 02:20,0,0,0,0.699,23.18,42.7,2.136,873.4907
05/05/2019 02:30,0,0,0,0.741,22.76,42.53,2.461,873.2935
05/05/2019 02:40,0.02,0,0,0.715,22.73,44.06,2.713,873.3762
05/05/2019 02:50,0,0,0,0.676,22.39,45.02,2.681,873.2526
05/05/2019 03:00,0.069,0,0,0.669,22.4,43.96,2.79,873.3107
05/05/2019 03:10,0.116,0,0,0.661,22.66,43.31,2.27,873.3273
05/05/2019 03:20,0,0,0,0.658,22.48,45.19,1.934,873.5058
05/05/2019 03:30,0.022,0,0,0.665,22.14,46,1.873,873.1555
05/05/2019 03:40,0.131,0,0,0.658,22.33,45.22,1.884,873.237
05/05/2019 03:50,0.185,0,0,0.66,22.45,43.79,1.91,873.4251
05/05/2019 04:00,0.137,0,0,0.673,22.88,42.09,1.643,873.0486
05/05/2019 04:10,0.224,0,0,0.701,23.12,43.69,1.763,873.1959
05/05/2019 04:20,0,0,0,0.698,22.55,45.05,2.056,873.2692
05/05/2019 04:30,0,0,0,0.75,22.44,44.88,2.268,873.2374
05/05/2019 04:40,0.035,0,0,0.73,22.53,44.78,1.945,873.2532
05/05/2019 04:50,0,0,0,0.684,22.32,45.87,1.993,873.3026
05/05/2019 05:00,0,0,0,0.682,21.98,47.88,2.001,873.4334
05/05/2019 05:10,0.048,0,0,0.674,21.84,47.98,1.913,873.3668
05/05/2019 05:20,0,0,0,0.679,22.03,47.91,1.132,873.0488
05/05/2019 05:30,0,0,0,0.685,21.81,49.65,0.805,873.4341
05/05/2019 05:40,0,0,0,0.692,21.58,50.37,0.862,873.4658
05/05/2019 05:50,0.009,0,0,0.677,21.38,51.08,1.556,873.6296
05/05/2019 06:00,0.137,0,0,0.676,21.22,52.1,1.523,873.6534
05/05/2019 06:10,0.036,0,0,0.677,21.07,52.27,1.585,873.695
05/05/2019 06:20,0.095,2.436,1.985,0.678,21.03,52.07,2.033,873.4994
05/05/2019 06:30,0.392,10.51,8.71,0.691,21.32,51.76,2.158,873.8173
05/05/2019 06:40,0.396,25.28,18.98,0.686,21.36,51.39,2.118,873.7687
05/05/2019 06:50,1.033,44.75,31.15,0.679,21.75,51.39,1.904,873.7269
05/05/2019 07:00,0.869,66.78,42.2,0.67,21.24,53.5,2.149,873.6954
05/05/2019 07:10,1.189,91.9,54.66,0.672,21.2,53.37,1.929,873.9485
05/05/2019 07:20,1.591,122.4,67.62,0.676,21.72,51.52,1.375,873.8498
05/05/2019 07:30,101.4,153,79.67,0.679,22.49,49.79,0.626,873.9905
05/05/2019 07:40,244.8,185.8,90.8,0.683,23.17,49.75,0,874.2914
05/05/2019 07:50,278,219.4,101.2,0.682,23.56,46.55,0.054,873.9651
05/05/2019 08:00,312,255.7,111.7,0.678,24.73,41.98,0,874.3411
05/05/2019 08:10,340.6,294.3,123.4,0.665,25.59,42.09,0.074,874.1603
