Date/Time,THERMAL ZONE: JORGE:Zone Mean Air Temperature [C](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 05/03  00:10:00,26.873436135621668,-30.18510837213538,100.0 
 05/03  00:20:00,26.764394924003424,-30.448250665590395,100.0 
 05/03  00:30:00,26.715252051648748,-30.590729011655414,100.0 
 05/03  00:40:00,26.67320197771735,-30.749744122718334,100.0 
 05/03  00:50:00,26.60191997832017,-30.951440320252538,100.0 
 05/03  01:00:00,26.48568444944197,-31.235187576719789,100.0 
 05/03  01:10:00,26.374932886878694,-31.5128150488595,100.0 
 05/03  01:20:00,26.304171597318616,-31.725147169337168,100.0 
 05/03  01:30:00,26.143199655019005,-32.09342040023499,100.0 
 05/03  01:40:00,26.063554089479227,-32.30689860487722,100.0 
 05/03  01:50:00,26.014483998983697,-32.455189011903318,100.0 
 05/03  02:00:00,26.0105711580744,-32.544749943973688,100.0 
 05/03  02:10:00,25.995547209593746,-32.658647451089148,100.0 
 05/03  02:20:00,26.030833067481085,-32.66401395296823,100.0 
 05/03  02:30:00,26.043947116959747,-32.70176975785501,100.0 
 05/03  02:40:00,25.98506241477371,-32.888099194953948,100.0 
 05/03  02:50:00,25.929494703853196,-33.0456834639445,100.0 
 05/03  03:00:00,25.87240333869277,-33.23445667450303,100.0 
 05/03  03:10:00,25.81892255783332,-33.406913683254987,100.0 
 05/03  03:20:00,25.748032393383139,-33.595246827146329,100.0 
 05/03  03:30:00,25.717722859798515,-33.74589459148854,100.0 
 05/03  03:40:00,25.547196689543779,-34.143810936454908,100.0 
 05/03  03:50:00,25.316172799056063,-34.6791239550473,100.0 
 05/03  04:00:00,25.18453127156311,-34.99429675849587,100.0 
 05/03  04:10:00,25.140546103352045,-35.16976946452957,100.0 
 05/03  04:20:00,25.19100922531976,-35.158229613067728,100.0 
 05/03  04:30:00,25.240734089071304,-35.116792219617519,100.0 
 05/03  04:40:00,25.268478172115889,-35.13163973610273,100.0 
 05/03  04:50:00,25.239429991691318,-35.223666981923397,100.0 
