Date/Time,THERMAL ZONE: JORGE:Zone Mean Air Temperature [C](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 05/03  00:10:00,26.799080406763939,-0.6930903025881776,15.100687137281824 
 05/03  00:20:00,26.631062457017916,-0.7493761419129239,16.825723920083079 
 05/03  00:30:00,26.53759711317352,-0.7837239746737335,17.9451627418011 
 05/03  00:40:00,26.496244258742839,-0.8082428024890175,18.774958620731199 
 05/03  00:50:00,26.470160568089069,-0.8266371593969579,19.414151625410385 
 05/03  01:00:00,26.434367623768659,-0.8482976300986245,20.185032708635619 
 05/03  01:10:00,26.391359339398336,-0.8722632015587495,21.06069538865303 
 05/03  01:20:00,26.363684366251389,-0.8900240429427783,21.72492468783318 
 05/03  01:30:00,26.301833646084725,-0.9210430362234869,22.91581547150807 
 05/03  01:40:00,26.28191620030813,-0.9341912493167867,23.432304159710314 
 05/03  01:50:00,26.266326461777959,-0.9453879066193017,23.877562404678245 
 05/03  02:00:00,26.24631048971447,-0.9605926640665028,24.490140125915589 
 05/03  02:10:00,26.22124638394221,-0.9782029246713153,25.210929947204535 
 05/03  02:20:00,26.206639298509548,-0.9880888333025791,25.62081937639539 
 05/03  02:30:00,26.184221762948427,-1.0008151322039035,26.153984546713674 
 05/03  02:40:00,26.14750697164863,-1.0221096492968738,27.059806295051787 
 05/03  02:50:00,26.119702977084164,-1.0368034269767437,27.694695491730884 
 05/03  03:00:00,26.08964386914314,-1.0569688513534806,28.57885670540874 
 05/03  03:10:00,26.05816013038438,-1.0758727335203356,29.420953688277579 
 05/03  03:20:00,26.033008946274877,-1.0904588339875892,30.079294372683607 
 05/03  03:30:00,26.00947963047568,-1.1081242423346718,30.886422492849009 
 05/03  03:40:00,25.943760983537556,-1.141217830465487,32.426527673815289 
 05/03  03:50:00,25.86268525110343,-1.1832449716326099,34.43272705366927 
 05/03  04:00:00,25.808870038186457,-1.20882252522431,35.67972294496761 
 05/03  04:10:00,25.7733373441436,-1.2340177252512306,36.92619992435368 
 05/03  04:20:00,25.765596692979643,-1.243560016086683,37.402777009285049 
 05/03  04:30:00,25.760532117766404,-1.2490428425755583,37.677691444172129 
 05/03  04:40:00,25.74626125917139,-1.2599039205590373,38.224558629797119 
 05/03  04:50:00,25.744148602481816,-1.263336166346283,38.3979959715547 
 05/03  05:00:00,25.70134225497172,-1.2910845435182155,39.810697134247607 
 05/03  05:10:00,25.65786897925312,-1.3130307846512113,40.94060647041566 
 05/03  05:20:00,25.56435390771518,-1.3628161216403215,43.54079185144358 
 05/03  05:30:00,25.500487638225484,-1.391525221249432,45.06065534168185 
 05/03  05:40:00,25.422016107822978,-1.4376898646434713,47.530182705004587 
 05/03  05:50:00,25.36020675366717,-1.4657310776456299,49.0425771526353 
 05/03  06:00:00,25.316006508792819,-1.4916658297195682,50.44761671609368 
 05/03  06:10:00,25.30269916724033,-1.5017923494112489,50.997508853638979 
 05/03  06:20:00,25.323461495275855,-1.4974162222402996,50.75979970933724 
 05/03  06:30:00,25.31873988790903,-1.5072907640253484,51.29633072068373 
 05/03  06:40:00,25.26424386088628,-1.5376559267814108,52.94892055696791 
 05/03  06:50:00,25.229316152016638,-1.5499614621825338,53.61936372498471 
 05/03  07:00:00,25.292328897633064,-1.5172808562826317,51.83964283622291 
 05/03  07:10:00,25.363751204345058,-1.492950169535112,50.51732414774588 
 05/03  07:20:00,25.35643944807169,-1.494955859750293,50.62620385660733 
 05/03  07:30:00,25.415235929683538,-1.4632264419684816,48.90717728799856 
 05/03  07:40:00,25.518363429412227,-1.4184402177775005,46.49701362088023 
 05/03  07:50:00,25.652470143111587,-1.3590882837686478,43.344463917208027 
 05/03  08:00:00,25.810312466311737,-1.2879420673801454,39.64979402247069 
 05/03  08:10:00,25.93008969703596,-1.215383164106064,36.0026033676428 
 05/03  08:20:00,26.068729268920447,-1.163367140127317,33.47703125351195 
 05/03  08:30:00,26.19093226802232,-1.116073481664172,31.253063614946286 
 05/03  08:40:00,26.282727616175586,-1.0740719251187983,29.340189640593736 
 05/03  08:50:00,26.36707024519617,-1.0288281691948869,27.349111269809244 
 05/03  09:00:00,26.449103255386075,-0.9888931269941926,25.654332084342387 
 05/03  09:10:00,28.53846194045116,0.5800356807469818,12.049781318434512 
 05/03  09:20:00,28.883463134253405,0.697752226034326,15.238379551736543 
 05/03  09:30:00,29.156823127577327,0.7645583065787228,17.314319070152068 
 05/03  09:40:00,29.64189603411441,0.8898854718429439,21.71969231788549 
 05/03  09:50:00,29.815687347304917,0.9513443998146973,24.116457031802044 
 05/03  10:00:00,29.795279070342528,0.9644888002032864,24.64856958832631 
 05/03  10:10:00,29.804185333905786,0.9758587321615995,25.114287467526084 
 05/03  10:20:00,29.904862604762685,1.0243037362341448,27.154101493167816 
 05/03  10:30:00,30.012045417632959,1.071654978710543,29.231971845660625 
 05/03  10:40:00,30.08783873476801,1.1084459130735654,30.901217704119746 
 05/03  10:50:00,30.141453499043853,1.139430644122093,32.34244280451145 
 05/03  11:00:00,30.184094875942664,1.1604635075465979,33.3384410801479 
 05/03  11:10:00,30.284407966312338,1.2035839237819659,35.422781121071427 
 05/03  11:20:00,30.317270760664294,1.2161002510655599,36.03796785531719 
 05/03  11:30:00,30.433334313244268,1.270027341049556,38.73695297807364 
 05/03  11:40:00,30.48260219199005,1.2914900204779372,39.831475205435278 
 05/03  11:50:00,30.570555297636788,1.330810621175181,41.86360048033307 
 05/03  12:00:00,30.652730259585224,1.3650415317266278,43.65811078432781 
 05/03  12:10:00,30.747598214200175,1.4071243300015744,45.89187971210536 
 05/03  12:20:00,30.79755985549812,1.4231376996336945,46.74871549787251 
 05/03  12:30:00,30.823283229767254,1.4423644606169158,47.78173727481139 
 05/03  12:40:00,30.878488486119659,1.4688702885941132,49.2123604737905 
 05/03  12:50:00,30.931863611181954,1.4893713752377298,50.323112293942489 
 05/03  13:00:00,30.914775374759015,1.4837405555829147,50.017718513923387 
 05/03  13:10:00,30.839925470433444,1.4872986758133323,50.210671441197899 
 05/03  13:20:00,30.892494515038015,1.533155174922056,52.70377974813083 
 05/03  13:30:00,30.99833372102281,1.572776315885107,54.86266109525062 
 05/03  13:40:00,31.066990384983997,1.6035498809044433,56.538476460162247 
 05/03  13:50:00,31.148686440725116,1.649216950077265,59.01713939412494 
 05/03  14:00:00,31.293844586997098,1.7080595740145457,62.18271720883393 
 05/03  14:10:00,31.201648068193327,1.6599131609470628,59.5954119854697 
 05/03  14:20:00,31.21540200287781,1.6868964611160875,61.04896011164374 
 05/03  14:30:00,31.335726241942987,1.7497596771247384,64.39666215883492 
 05/03  14:40:00,31.425740573369255,1.7868678026000853,66.33966343700972 
 05/03  14:50:00,31.471738669152676,1.8011695375984936,67.08057386893222 
 05/03  15:00:00,31.539013408107726,1.8314647004964493,68.6336932032384 
 05/03  15:10:00,31.614101582567686,1.8665530199630716,70.40195068775417 
 05/03  15:20:00,31.660722495317438,1.88081576591691,71.11047843168773 
 05/03  15:30:00,31.667009526419315,1.8845109875851068,71.293028126349 
 05/03  15:40:00,31.665448221096136,1.8859660630101499,71.36479412886779 
 05/03  15:50:00,31.65764528115132,1.892368480121318,71.67977505005772 
 05/03  16:00:00,31.529440961403077,1.8373929928645954,68.93484745725044 
 05/03  16:10:00,31.347414620332768,1.7922442310238083,66.61874335546274 
 05/03  16:20:00,31.198991087603564,1.7389047084117773,63.82319468811362 
 05/03  16:30:00,31.078106156665244,1.6923245355770378,61.34032595823031 
 05/03  16:40:00,30.899770406464655,1.649658381333584,59.041025239948769 
 05/03  16:50:00,30.795910672376534,1.6249630494578225,57.702381430487388 
 05/03  17:00:00,30.86280129855445,1.650066795107515,59.06312298630349 
 05/03  17:10:00,30.843632399308278,1.6461312749440469,58.85012645001894 
 05/03  17:20:00,30.78993141333646,1.6297316184670987,57.96121491720307 
 05/03  17:30:00,30.75338521436493,1.624499765250999,57.677226960099 
 05/03  17:40:00,30.758772175706925,1.6353952087273097,58.26842768110286 
 05/03  17:50:00,30.7963850148789,1.6567971990793898,59.427063105322798 
 05/03  18:00:00,30.8260182586508,1.6734820817020227,60.32736334608739 
 05/03  18:10:00,29.40542546243268,0.5481031439544879,11.288465631717273 
 05/03  18:20:00,29.009714121192699,0.42109946216787255,8.69701263411082 
 05/03  18:30:00,28.747687724694808,0.3345675175288306,7.328030582816211 
 05/03  18:40:00,28.232772654096637,0.20311646445202109,5.855571790247083 
 05/03  18:50:00,27.954419678165086,0.11987207652480998,5.297642456954847 
 05/03  19:00:00,27.876691503777346,0.07105905814406324,5.104548536514201 
 05/03  19:10:00,27.86150016007276,0.049835580668547128,5.051417181861041 
 05/03  19:20:00,27.82850083356353,0.024693748147947185,5.012623121376706 
 05/03  19:30:00,27.780669595187839,-0.0019727275282612618,5.000080559195652 
 05/03  19:40:00,27.716319962403028,-0.02995060207257525,5.018569894797153 
 05/03  19:50:00,27.64602102907153,-0.06474051090879339,5.086779003413469 
 05/03  20:00:00,27.57428065689011,-0.10519068146826384,5.229165828525524 
 05/03  20:10:00,27.535935234818579,-0.12941140600845048,5.346936090371386 
 05/03  20:20:00,27.503302066749755,-0.14423873755063203,5.4310678219450498 
 05/03  20:30:00,27.459336069804647,-0.17602288553352236,5.642262535581295 
 05/03  20:40:00,27.4212536321943,-0.20406961562777413,5.86363472308706 
 05/03  20:50:00,27.400186735159197,-0.2280411645790518,6.078923994565997 
 05/03  21:00:00,27.35653170427774,-0.2694175007309817,6.50725977582087 
 05/03  21:10:00,27.33134886045688,-0.29653841976663139,6.827130966273529 
 05/03  21:20:00,27.305009634364195,-0.3309339227533488,7.277522349012557 
 05/03  21:30:00,27.24498427362223,-0.3675193707342775,7.811692138006052 
 05/03  21:40:00,27.177152494488554,-0.3960292777508434,8.267489858411935 
 05/03  21:50:00,27.13902952472946,-0.4185583000909339,8.652249072495153 
 05/03  22:00:00,27.108959205274436,-0.4469257140658495,9.167674450997524 
 05/03  22:10:00,27.098753320943446,-0.45827985981944677,9.383666414426856 
 05/03  22:20:00,27.106549364303349,-0.45315812643354078,9.28554801612313 
 05/03  22:30:00,27.10716748686171,-0.4680948851445672,9.574851676769058 
 05/03  22:40:00,27.069757464152546,-0.4936990245543632,10.093139263090592 
 05/03  22:50:00,27.022683071972847,-0.513091310284206,10.504523784371657 
 05/03  23:00:00,27.027010922745256,-0.5129090574804035,10.500581825974749 
 05/03  23:10:00,27.038291319933295,-0.5144971181987545,10.534978382807083 
 05/03  23:20:00,27.033529880806783,-0.5254570015651306,10.775338753296964 
 05/03  23:30:00,27.017876854280343,-0.539118212146256,11.082222236408157 
 05/03  23:40:00,27.006602344598674,-0.5497511205816544,11.326673585642979 
 05/03  23:50:00,26.99628680052394,-0.5621954559544989,11.618993995800054 
 05/03  24:00:00,26.992781722816234,-0.572389942412161,11.863469260684326 
 05/04  00:10:00,26.978786316454575,-0.5866568876764581,12.213176918592822 
 05/04  00:20:00,26.930742134557023,-0.6150973499125988,12.936657613589958 
 05/04  00:30:00,26.877455281587396,-0.6396204735009531,13.588669608889049 
 05/04  00:40:00,26.81989975869457,-0.6704463364827724,14.445250088641743 
 05/04  00:50:00,26.785241775573394,-0.6877170295452474,14.9431494653371 
 05/04  01:00:00,26.76941925702987,-0.7001957756326219,15.310926001827014 
 05/04  01:10:00,26.75727712475132,-0.7115921614408984,15.652676032398106 
 05/04  01:20:00,26.73997334510616,-0.7244987232044862,16.046472588647548 
 05/04  01:30:00,26.72566633137534,-0.7337537825936719,16.33327013610493 
 05/04  01:40:00,26.708316861433678,-0.7467299110610427,16.74157210930217 
 05/04  01:50:00,26.690311916874177,-0.7585490767413574,17.11975023154875 
 05/04  02:00:00,26.668719909013796,-0.7734712034645556,17.605742866784128 
 05/04  02:10:00,26.636819363003917,-0.7934526159080759,18.271362687864824 
 05/04  02:20:00,26.583009891340344,-0.8230081098092551,19.28691741215924 
 05/04  02:30:00,26.548281905476597,-0.8435105258446937,20.01297642477408 
 05/04  02:40:00,26.489450696940876,-0.8715988177547349,21.036099873981799 
 05/04  02:50:00,26.42941317787734,-0.8975501256474551,22.010282039491956 
 05/04  03:00:00,26.396003667119044,-0.9201870312084304,22.882429925902515 
 05/04  03:10:00,26.329553671389009,-0.9538657281740456,24.218000143819013 
 05/04  03:20:00,26.245125428591515,-0.9916386796069319,25.768918175997486 
 05/04  03:30:00,26.20980168575991,-1.0128822123063313,26.66520226453987 
 05/04  03:40:00,26.15351180339409,-1.040322267534302,27.84791611828379 
 05/04  03:50:00,26.09757488338418,-1.0640853378956894,28.894379931501449 
 05/04  04:00:00,26.09538492941241,-1.0684800862939355,29.090130473844753 
 05/04  04:10:00,26.040079959721536,-1.100357299445282,30.530243843900906 
 05/04  04:20:00,25.977140835690674,-1.1306306575308734,31.929917662122834 
 05/04  04:30:00,25.949372021660758,-1.1423166529238543,32.47827674205162 
 05/04  04:40:00,25.944729442669698,-1.1508660278307217,32.88222448815429 
 05/04  04:50:00,25.918820536303746,-1.1710183695849439,33.843468392514498 
 05/04  05:00:00,25.87019088975468,-1.1959570596057903,35.05010784274113 
 05/04  05:10:00,25.839029672713296,-1.2085325786553352,35.66548130151516 
 05/04  05:20:00,25.77412903112698,-1.2486635609877229,37.65864876571216 
 05/04  05:30:00,25.74275077764323,-1.265878898365462,38.526673816997149 
 05/04  05:40:00,25.668168576069399,-1.30647082394055,40.60174984827412 
 05/04  05:50:00,25.59005159054432,-1.3400963709621732,42.348196214535978 
 05/04  06:00:00,25.56977393189555,-1.3471212640203747,42.71591794898419 
 05/04  06:10:00,25.600837681659948,-1.3389406674476868,42.28779119535417 
 05/04  06:20:00,25.63452306348752,-1.3301868449009722,41.83110884096006 
 05/04  06:30:00,25.618277955089729,-1.3416346416215675,42.428636956073308 
 05/04  06:40:00,25.618801207176447,-1.3446867217215453,42.58837393288368 
 05/04  06:50:00,25.635478281693869,-1.335886606508803,42.12829039806558 
 05/04  07:00:00,25.66301816543786,-1.325023823961366,41.56247666550167 
 05/04  07:10:00,25.690702040342726,-1.3154561262624034,41.06612249067635 
 05/04  07:20:00,25.726040152857565,-1.3005190849449684,40.295125233448818 
 05/04  07:30:00,25.751621248769025,-1.2869355600283473,39.5983065147167 
 05/04  07:40:00,25.803416045120117,-1.2567342551370214,38.064652621548017 
 05/04  07:50:00,25.920620074240476,-1.203733104939346,35.43008729388751 
 05/04  08:00:00,26.052251796724567,-1.1482564363250035,32.75867827950444 
 05/04  08:10:00,26.106471556731188,-1.1174676782155935,31.317585367621108 
 05/04  08:20:00,26.17253944914577,-1.0966847254325563,30.36253924291009 
 05/04  08:30:00,26.287223484525449,-1.035893183214768,27.655134603769299 
 05/04  08:40:00,26.420637915865023,-0.9780601373110127,25.205037274320646 
 05/04  08:50:00,26.542063108557636,-0.9198960926213258,22.87108956427248 
 05/04  09:00:00,26.609363504259915,-0.9007212647954513,22.13120886090313 
 05/04  09:10:00,28.58213242390033,0.6009260577078527,12.57177411338975 
 05/04  09:20:00,28.851758636766456,0.6943826002144549,15.138761796356917 
 05/04  09:30:00,29.12405394666054,0.7662071804763246,17.367976550450807 
 05/04  09:40:00,29.55736451678257,0.8739358243509678,21.122696449518445 
 05/04  09:50:00,29.72008949070482,0.93522747376172,23.473302636752196 
 05/04  10:00:00,29.758867156037178,0.9704721168316087,24.89302308566357 
 05/04  10:10:00,29.815502648583089,1.0049568579666056,26.32882826357755 
 05/04  10:20:00,29.8995953124163,1.043642445502945,27.992900910623065 
 05/04  10:30:00,29.964084218986164,1.0715234264190872,29.226087551670774 
 05/04  10:40:00,30.079631745411093,1.1196417783596007,31.418328961983364 
 05/04  10:50:00,30.178826746607105,1.1544404419995527,33.05179709523492 
 05/04  11:00:00,30.2578587390851,1.1960868721869747,35.05643682417299 
 05/04  11:10:00,30.40305734919392,1.255754496876561,38.01527630947716 
 05/04  11:20:00,30.50323043696827,1.291503986708884,39.83219095167604 
 05/04  11:30:00,30.598504200832609,1.3341099608448953,42.03558803622541 
 05/04  11:40:00,30.733058469011213,1.381694810589716,44.53871632228024 
 05/04  11:50:00,30.75387601580383,1.3947206399729109,45.23063586923773 
 05/04  12:00:00,30.755420860724685,1.3972756795232056,45.366661873491327 
 05/04  12:10:00,30.85788517047297,1.4449977148301064,47.92354688669144 
 05/04  12:20:00,30.986230527582895,1.5010051640147229,50.95474120611544 
 05/04  12:30:00,31.04708523683832,1.5234521404885722,52.17548082624638 
 05/04  12:40:00,31.10634954878732,1.5464799520870978,53.4296569311866 
 05/04  12:50:00,31.150614068625218,1.565526782055776,54.46760910235347 
 05/04  13:00:00,31.231927911554125,1.6008655221771629,56.39241322927976 
 05/04  13:10:00,31.240048303850455,1.6242809560133318,57.665346028960879 
 05/04  13:20:00,31.246657398321813,1.631225241927287,58.0422561326092 
 05/04  13:30:00,31.25071244539132,1.6352119214263095,58.258489141340557 
 05/04  13:40:00,31.24793207214762,1.6376499265216036,58.390666703910408 
 05/04  13:50:00,31.237500633840257,1.6360408433950758,58.30343449333534 
 05/04  14:00:00,31.342320985496156,1.69260004923739,61.355104754479118 
 05/04  14:10:00,31.447889372871967,1.7305752728176367,63.38173387416836 
 05/04  14:20:00,31.445573990901808,1.729208213668547,63.30916653638594 
 05/04  14:30:00,31.437166981737499,1.7269412990489915,63.18876368852895 
 05/04  14:40:00,31.409844379574893,1.7230671206383899,62.982798750957879 
 05/04  14:50:00,31.39897781898651,1.7336955622175057,63.54724934682503 
 05/04  15:00:00,31.456581684999184,1.7684478022524053,65.37871661267829 
 05/04  15:10:00,31.560638023342123,1.8138863464086555,67.73531560233939 
 05/04  15:20:00,31.65402781731415,1.855341401917291,69.84073797650751 
 05/04  15:30:00,31.737955617453,1.884928541730128,71.3136291681375 
 05/04  15:40:00,31.75823780089941,1.8977490625754372,71.9434722932174 
 05/04  15:50:00,31.734815119780714,1.884482320317829,71.29161355733629 
 05/04  16:00:00,31.710689667325853,1.8758078906709528,70.86240766916393 
 05/04  16:10:00,31.688872950608123,1.8873912190157423,71.43502000379937 
 05/04  16:20:00,31.68029020433773,1.8937814650279628,71.74911423862375 
 05/04  16:30:00,31.639297368365609,1.876666058110642,70.90497262300868 
 05/04  16:40:00,31.64699970406329,1.897295487754352,71.92127906473657 
 05/04  16:50:00,31.624255072747954,1.8837498722016629,71.25546263267397 
 05/04  17:00:00,31.593832251382517,1.8686309642447725,70.50555853926508 
 05/04  17:10:00,31.530700152824335,1.8492079852148793,69.53218648965174 
 05/04  17:20:00,31.53006563142658,1.8553387563212232,69.84060511680662 
 05/04  17:30:00,31.551059115015329,1.8707624952167677,70.6117041445811 
 05/04  17:40:00,31.600795974439725,1.8960189406723569,71.85878240813948 
 05/04  17:50:00,31.632578023636154,1.9122359785318377,72.64875948783124 
 05/04  18:00:00,31.588198491981946,1.8955983454722274,71.8381795568541 
 05/04  18:10:00,30.10385690719376,0.8317139238000503,19.593069633990795 
 05/04  18:20:00,29.671824550664796,0.6954434960620487,15.170072641203007 
 05/04  18:30:00,29.45345323260666,0.6429418702715896,13.678983703749978 
 05/04  18:40:00,28.966158694164784,0.5076933492080479,10.388379707969037 
 05/04  18:50:00,28.7883354812274,0.4422721799392377,9.080751464319036 
 05/04  19:00:00,28.70958977347558,0.38990696895808649,8.166683688707593 
 05/04  19:10:00,28.632265165124865,0.3491492284113215,7.536361774133667 
