Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE: JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/03  21:50:00,25.4,25.487330249319937 
 05/03  22:00:00,25.2,25.323007736222026 
 05/03  22:10:00,25.1,25.296904046865359 
 05/03  22:20:00,25.6,25.640683896045699 
 05/03  22:30:00,25.5,25.597755319678304 
 05/03  22:40:00,25.0,25.30003765616532 
 05/03  22:50:00,25.0,25.197896248566157 
 05/03  23:00:00,25.3,25.385132722741916 
 05/03  23:10:00,25.4,25.520951104834905 
 05/03  23:20:00,25.4,25.51883201224948 
 05/03  23:30:00,25.4,25.466186179372614 
 05/03  23:40:00,25.5,25.53031504529446 
 05/03  23:50:00,25.5,25.53269585724526 
 05/03  24:00:00,25.6,25.604388532741998 
 05/04  00:10:00,25.4,25.543668471636918 
 05/04  00:20:00,25.0,25.309980294333227 
 05/04  00:30:00,24.9,25.075315346288514 
 05/04  00:40:00,24.6,24.824413739881579 
 05/04  00:50:00,24.7,24.87020637766179 
 05/04  01:00:00,24.7,24.930622882864648 
 05/04  01:10:00,24.7,25.07579467711293 
 05/04  01:20:00,24.6,24.940185933184009 
 05/04  01:30:00,24.7,24.93346691728434 
 05/04  01:40:00,24.6,24.857759565687027 
 05/04  01:50:00,24.6,24.790622993104426 
 05/04  02:00:00,24.5,24.727982410223864 
 05/04  02:10:00,24.3,24.7319791196256 
 05/04  02:20:00,23.9,24.34907611542532 
 05/04  02:30:00,23.6,24.313656262375024 
 05/04  02:40:00,23.4,23.926353640416495 
 05/04  02:50:00,23.3,23.792833129413638 
 05/04  03:00:00,22.8,23.87060487761913 
 05/04  03:10:00,22.4,23.708678666464587 
 05/04  03:20:00,22.1,23.36803101155641 
 05/04  03:30:00,21.8,23.22308120190766 
 05/04  03:40:00,21.6,23.082915188232744 
 05/04  03:50:00,21.7,23.05804130452853 
 05/04  04:00:00,21.9,22.896798865617048 
 05/04  04:10:00,21.4,22.746287769305135 
 05/04  04:20:00,21.3,22.515711275591018 
 05/04  04:30:00,21.7,22.426065421509607 
 05/04  04:40:00,21.7,22.462173907994399 
 05/04  04:50:00,21.3,22.286641546777525 
 05/04  05:00:00,21.1,22.10408857780619 
 05/04  05:10:00,21.2,22.475877687417467 
 05/04  05:20:00,20.8,21.583461221497637 
 05/04  05:30:00,20.7,21.529269520537335 
 05/04  05:40:00,20.3,21.035667893766808 
 05/04  05:50:00,20.3,20.920751087583694 
 05/04  06:00:00,20.7,21.30921540253977 
 05/04  06:10:00,20.8,21.647053123281006 
 05/04  06:20:00,21.0,21.901183941589279 
 05/04  06:30:00,21.1,21.69539960872921 
 05/04  06:40:00,20.9,21.77126092512998 
 05/04  06:50:00,21.1,21.981134632471507 
 05/04  07:00:00,21.1,22.175816493453217 
 05/04  07:10:00,21.1,22.174610558498509 
 05/04  07:20:00,21.4,22.072707340270257 
 05/04  07:30:00,21.8,22.14996274735456 
 05/04  07:40:00,22.2,22.452483696793708 
 05/04  07:50:00,22.5,22.762018193850225 
 05/04  08:00:00,23.2,23.233067372205718 
 05/04  08:10:00,23.8,23.692049934163486 
 05/04  08:20:00,24.1,23.94083872847115 
 05/04  08:30:00,24.8,24.06784399408064 
 05/04  08:40:00,25.4,24.39933601822556 
 05/04  08:50:00,25.8,24.97886540554959 
 05/04  09:00:00,25.9,25.303544314153578 
 05/04  09:10:00,25.2,25.0135078924654 
 05/04  09:20:00,25.0,24.792897510652744 
 05/04  09:30:00,25.5,24.937487291013086 
 05/04  09:40:00,25.4,25.02111539961922 
 05/04  09:50:00,25.6,25.125239567774487 
 05/04  10:00:00,25.9,25.1031845904454 
 05/04  10:10:00,26.4,25.127140657632656 
 05/04  10:20:00,26.7,26.043967745721966 
 05/04  10:30:00,27.0,26.310924648281597 
 05/04  10:40:00,27.2,26.538758162892987 
 05/04  10:50:00,27.8,27.127185524291826 
 05/04  11:00:00,28.2,27.265919603656074 
 05/04  11:10:00,28.6,27.629705433080767 
 05/04  11:20:00,29.5,28.25382207078736 
 05/04  11:30:00,30.2,28.43536385543898 
 05/04  11:40:00,30.2,29.204667569473025 
 05/04  11:50:00,30.2,28.334333116828917 
 05/04  12:00:00,30.0,28.20024326586222 
 05/04  12:10:00,30.3,29.51107678264635 
 05/04  12:20:00,31.2,29.178297262565065 
 05/04  12:30:00,31.4,30.00216487715732 
 05/04  12:40:00,31.5,29.418033472986815 
 05/04  12:50:00,31.5,29.751390621993033 
 05/04  13:00:00,31.6,30.43468907962532 
 05/04  13:10:00,32.2,30.02791605890846 
 05/04  13:20:00,32.2,30.864897259764168 
 05/04  13:30:00,32.1,30.953616930580993 
 05/04  13:40:00,32.1,30.065759040840914 
 05/04  13:50:00,32.1,31.109998963026578 
 05/04  14:00:00,32.7,30.7482151864523 
 05/04  14:10:00,32.7,31.666939151178306 
 05/04  14:20:00,32.2,30.430912413320919 
 05/04  14:30:00,32.2,31.38076774835092 
 05/04  14:40:00,32.1,30.988565737897756 
 05/04  14:50:00,32.2,30.676457750642045 
 05/04  15:00:00,32.1,31.452251792851194 
 05/04  15:10:00,32.9,31.956601692878225 
 05/04  15:20:00,33.7,32.3303044604382 
 05/04  15:30:00,33.5,32.01825480872566 
 05/04  15:40:00,33.7,32.35539335277295 
 05/04  15:50:00,33.4,32.47660911736684 
 05/04  16:00:00,32.8,32.14267809461318 
 05/04  16:10:00,33.7,31.692185845609914 
 05/04  16:20:00,34.0,32.84534305142252 
 05/04  16:30:00,33.5,32.32904450031077 
 05/04  16:40:00,33.3,32.62311479238535 
 05/04  16:50:00,33.0,32.03601012596164 
 05/04  17:00:00,32.8,32.37314650356856 
 05/04  17:10:00,32.6,31.7567927596245 
 05/04  17:20:00,32.6,31.84668799786817 
 05/04  17:30:00,32.7,31.799232310955163 
 05/04  17:40:00,32.8,32.102169771192269 
 05/04  17:50:00,33.0,32.0498770179857 
 05/04  18:00:00,32.6,31.793871607838978 
 05/04  18:10:00,32.5,31.09095378748131 
 05/04  18:20:00,32.3,30.370420017068015 
 05/04  18:30:00,32.3,31.198012400388366 
 05/04  18:40:00,32.2,31.033284777563165 
 05/04  18:50:00,32.0,30.925323021364006 
 05/04  19:00:00,31.8,30.786884619873495 
 05/04  19:10:00,31.4,30.555384309175044 
 05/04  19:20:00,31.0,30.099093512934976 
 05/04  19:30:00,30.5,29.57915497572596 
 05/04  19:40:00,30.0,29.398497067407726 
 05/04  19:50:00,29.6,29.204147092089995 
 05/04  20:00:00,29.5,28.932464981211674 
 05/04  20:10:00,29.2,28.737050113096307 
 05/04  20:20:00,29.1,28.73790779175758 
 05/04  20:30:00,28.9,28.682073871423417 
 05/04  20:40:00,28.9,28.579418332444854 
 05/04  20:50:00,28.8,28.574711784409418 
 05/04  21:00:00,28.4,28.320332338928574 
 05/04  21:10:00,28.0,27.99044448301543 
 05/04  21:20:00,28.0,27.915875607423005 
 05/04  21:30:00,27.5,27.609030400876966 
 05/04  21:40:00,27.9,27.791401373793563 
 05/04  21:50:00,27.9,27.869034362974145 
 05/04  22:00:00,27.8,27.75354489623087 
 05/04  22:10:00,27.6,27.58857140707172 
 05/04  22:20:00,27.4,27.43899475709725 
 05/04  22:30:00,27.1,27.26415709540162 
 05/04  22:40:00,26.7,27.057939706908145 
 05/04  22:50:00,26.5,27.002528880430796 
 05/04  23:00:00,26.8,27.01260076558479 
 05/04  23:10:00,27.0,27.043263220602616 
 05/04  23:20:00,26.9,26.961954326877419 
 05/04  23:30:00,26.9,26.926327826800475 
 05/04  23:40:00,26.8,26.869334177709299 
 05/04  23:50:00,26.2,26.640186559196687 
 05/04  24:00:00,26.2,26.459814540054145 
 05/05  00:10:00,25.9,26.297206976078056 
 05/05  00:20:00,26.1,26.274821079976033 
 05/05  00:30:00,26.1,26.334724434008245 
 05/05  00:40:00,26.2,26.364180260269337 
 05/05  00:50:00,25.8,26.067442392110224 
 05/05  01:00:00,25.9,26.06787066014552 
 05/05  01:10:00,25.7,26.0708572301865 
 05/05  01:20:00,25.3,25.986901927552635 
 05/05  01:30:00,24.9,25.576206119750834 
 05/05  01:40:00,24.1,24.643976074360134 
 05/05  01:50:00,23.7,24.237568815880488 
 05/05  02:00:00,23.4,23.90256416245123 
 05/05  02:10:00,23.4,23.907456174673109 
 05/05  02:20:00,23.4,23.926184202849876 
 05/05  02:30:00,23.2,23.758409919243065 
 05/05  02:40:00,22.8,23.33781013650097 
 05/05  02:50:00,22.7,23.26248333705592 
 05/05  03:00:00,22.4,23.019510291808407 
 05/05  03:10:00,22.4,22.992560770330348 
 05/05  03:20:00,22.7,23.46145890525822 
 05/05  03:30:00,22.5,23.239868599265934 
 05/05  03:40:00,22.1,23.004504386252788 
 05/05  03:50:00,22.3,23.113627121917319 
 05/05  04:00:00,22.5,23.370329767530909 
 05/05  04:10:00,22.9,23.546653239564006 
 05/05  04:20:00,23.1,23.618349734314156 
 05/05  04:30:00,22.5,23.153323288828199 
 05/05  04:40:00,22.4,23.05060106386595 
 05/05  04:50:00,22.5,23.15669759356823 
 05/05  05:00:00,22.3,23.082031148747427 
 05/05  05:10:00,22.0,22.80592221442214 
 05/05  05:20:00,21.8,23.13649101134339 
 05/05  05:30:00,22.0,23.413953727778613 
 05/05  05:40:00,21.8,23.344094463507369 
 05/05  05:50:00,21.6,23.114107607383656 
 05/05  06:00:00,21.4,22.89808615535787 
 05/05  06:10:00,21.2,22.75972644207883 
 05/05  06:20:00,21.1,22.340378473227547 
 05/05  06:30:00,21.0,22.026344017927927 
 05/05  06:40:00,21.3,22.18074962514558 
 05/05  06:50:00,21.4,22.368752025067204 
 05/05  07:00:00,21.8,22.348633179729484 
 05/05  07:10:00,21.2,21.963298541791177 
 05/05  07:20:00,21.2,22.133374264858455 
 05/05  07:30:00,21.7,22.65348485893349 
 05/05  07:40:00,22.5,23.204374379011939 
 05/05  07:50:00,23.2,23.6003422701835 
 05/05  08:00:00,23.6,23.812997574370685 
 05/05  08:10:00,24.7,24.21146565550093 
 05/05  08:20:00,25.6,24.858631198127229 
 05/05  08:30:00,26.1,25.139065669955757 
 05/05  08:40:00,26.6,25.756352117061384 
 05/05  08:50:00,26.7,26.030176514078496 
 05/05  09:00:00,26.5,25.99320832899531 
 05/05  09:10:00,27.0,26.18657573983317 
 05/05  09:20:00,27.3,26.79118526589035 
 05/05  09:30:00,27.5,26.91784985287932 
 05/05  09:40:00,27.5,27.0821113619216 
 05/05  09:50:00,27.6,27.046317677047435 
 05/05  10:00:00,27.4,27.03099461917561 
 05/05  10:10:00,27.2,26.775866401409865 
 05/05  10:20:00,28.0,27.0066320920639 
 05/05  10:30:00,28.2,27.290185048380125 
 05/05  10:40:00,28.3,27.785849969141979 
 05/05  10:50:00,28.8,28.277686265002303 
 05/05  11:00:00,28.7,28.03263868527122 
 05/05  11:10:00,28.6,28.032178647221458 
 05/05  11:20:00,29.0,28.39489833557781 
 05/05  11:30:00,28.9,28.300927106885088 
 05/05  11:40:00,29.6,28.94577945782997 
 05/05  11:50:00,30.5,29.810236965098004 
 05/05  12:00:00,30.5,29.720323752480018 
 05/05  12:10:00,29.6,29.094456205397618 
 05/05  12:20:00,30.1,29.064138168737466 
 05/05  12:30:00,31.0,30.028847134851277 
 05/05  12:40:00,30.6,29.484715460346935 
 05/05  12:50:00,31.3,30.507821466056769 
 05/05  13:00:00,31.3,30.626177798112388 
 05/05  13:10:00,31.6,30.786585301007059 
 05/05  13:20:00,32.5,31.066135186750008 
 05/05  13:30:00,32.8,31.832137178026419 
 05/05  13:40:00,32.8,31.336973415462663 
 05/05  13:50:00,33.1,31.702787362072148 
 05/05  14:00:00,32.7,31.820666327069028 
 05/05  14:10:00,33.7,32.167628020062497 
 05/05  14:20:00,33.0,31.722426809154059 
 05/05  14:30:00,33.3,32.24154421380306 
 05/05  14:40:00,33.5,31.74505367466316 
 05/05  14:50:00,34.0,33.257861194504197 
 05/05  15:00:00,34.4,33.19719267133215 
 05/05  15:10:00,34.5,33.09571120212027 
 05/05  15:20:00,34.4,33.6875510854502 
 05/05  15:30:00,34.2,33.701688874015378 
 05/05  15:40:00,34.4,32.312714242724997 
 05/05  15:50:00,34.2,33.70914379796798 
 05/05  16:00:00,34.3,32.99852834183215 
 05/05  16:10:00,34.2,32.68280991991759 
 05/05  16:20:00,34.6,32.54840944085791 
 05/05  16:30:00,34.8,32.72341724855438 
 05/05  16:40:00,34.1,32.79586305328713 
 05/05  16:50:00,33.8,32.72086247694735 
 05/05  17:00:00,33.6,32.48227307151362 
 05/05  17:10:00,33.6,33.00113228114857 
 05/05  17:20:00,33.8,32.89138468135606 
 05/05  17:30:00,34.0,33.35446770111495 
 05/05  17:40:00,33.8,33.32836917959841 
 05/05  17:50:00,33.8,33.211475846457599 
 05/05  18:00:00,33.7,32.88692041485032 
 05/05  18:10:00,33.3,32.83024084219095 
 05/05  18:20:00,33.2,32.780142754427718 
 05/05  18:30:00,33.4,32.82758849827507 
 05/05  18:40:00,33.5,32.71951909154602 
 05/05  18:50:00,33.1,32.718983491009968 
 05/05  19:00:00,32.6,32.25543057864513 
 05/05  19:10:00,32.4,32.03767381285718 
 05/05  19:20:00,32.3,31.871486708829609 
 05/05  19:30:00,32.1,31.73790210041155 
 05/05  19:40:00,32.0,31.48271209589975 
 05/05  19:50:00,31.6,31.358823006548414 
 05/05  20:00:00,31.3,30.970444270828179 
 05/05  20:10:00,31.2,30.828833801318955 
 05/05  20:20:00,30.8,30.585036999127924 
 05/05  20:30:00,30.4,30.26013752672679 
 05/05  20:40:00,30.0,29.89614333160365 
 05/05  20:50:00,29.6,29.534316228029767 
 05/05  21:00:00,29.2,29.17383775244334 
 05/05  21:10:00,28.8,28.81154773104281 
