Date/Time,THERMAL ZONE: JORGE:Zone Mean Air Temperature [C](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 05/03  00:10:00,26.391963401313448,-1.0780161860292939,29.51723321630233 
 05/03  00:20:00,26.35747629132949,-1.0997689592521217,30.503346923822137 
 05/03  00:30:00,26.384399617265815,-1.0983930823841515,30.44049251776299 
 05/03  00:40:00,26.358497544734904,-1.1181355803641067,31.348517970924776 
 05/03  00:50:00,26.24663294633761,-1.1625359210883515,33.437330551540089 
 05/03  01:00:00,26.046316076394786,-1.23385016700892,36.91785307998145 
 05/03  01:10:00,25.882077621694504,-1.2971898971874896,40.12395419158207 
 05/03  01:20:00,25.770402230160415,-1.3459704345756514,42.655612794158667 
 05/03  01:30:00,25.529037189486176,-1.4327903026631388,47.26678875608 
 05/03  01:40:00,25.398572914636114,-1.4863268991451258,50.1579641947892 
 05/03  01:50:00,25.360693882640626,-1.5104588644143362,51.46857780206354 
 05/03  02:00:00,25.413764826004465,-1.509008582561802,51.389721012499098 
 05/03  02:10:00,25.43966525940933,-1.5153765115808904,51.73604017364327 
 05/03  02:20:00,25.579849532240048,-1.485941636280054,50.13707012610404 
 05/03  02:30:00,25.682762737150857,-1.4651106402678869,49.00903124550002 
 05/03  02:40:00,25.618374955095175,-1.4979097405293168,50.786601794513099 
 05/03  02:50:00,25.555913671393854,-1.5267617857989584,52.35564709957958 
 05/03  03:00:00,25.495866641074199,-1.5597723158081858,54.154008691641 
 05/03  03:10:00,25.438406924128274,-1.5902009557013837,55.81186359612415 
 05/03  03:20:00,25.32919747943056,-1.6333088125886229,58.155280827218309 
 05/03  03:30:00,25.305501961846728,-1.6579855886683932,59.49128033568356 
 05/03  03:40:00,25.016455374232164,-1.761376405567514,65.0079266631752 
 05/03  03:50:00,24.630051442911865,-1.9040436902253295,72.25077369869608 
 05/03  04:00:00,24.46851350894071,-1.972147928585987,75.48783791755588 
 05/03  04:10:00,24.400242489322836,-2.0121673217565596,77.30862428102617 
 05/03  04:20:00,24.583725109513336,-1.9710047491229957,75.43490163038392 
 05/03  04:30:00,24.747087629114576,-1.9267847760603166,73.34995399792557 
 05/03  04:40:00,24.85877795840743,-1.9030897014965079,72.20428375261656 
 05/03  04:50:00,24.781990713234344,-1.931289269880886,73.56556965860816 
 05/03  05:00:00,24.52629528700876,-2.0272344663554939,77.97729631371178 
 05/03  05:10:00,24.313158339343805,-2.104623817617353,81.25654466706735 
 05/03  05:20:00,24.100322145988466,-2.196882120886615,84.8012844642219 
 05/03  05:30:00,24.05478899798379,-2.222816890870315,85.72234543342835 
 05/03  05:40:00,23.88046892785959,-2.3007822054763888,88.28561275425109 
 05/03  05:50:00,23.702719295642365,-2.3684058956265638,90.2566342159978 
 05/03  06:00:00,23.58070680197228,-2.422875164089008,91.67497653692706 
 05/03  06:10:00,23.62828197438898,-2.4187505585949484,91.57279393267373 
 05/03  06:20:00,23.80941679482486,-2.367560435967783,90.23343564735233 
 05/03  06:30:00,23.886263124853025,-2.3559458820582988,89.91105540890563 
 05/03  06:40:00,23.54517083351042,-2.476570294092193,92.92860864756669 
 05/03  06:50:00,23.3739742852424,-2.539878157886853,94.22896224088039 
 05/03  07:00:00,23.76472863814127,-2.4136486286904668,91.4452239215709 
 05/03  07:10:00,23.97991649198611,-2.340323197992922,89.46655418935848 
 05/03  07:20:00,23.73841598223594,-2.417430679119755,91.53991605811336 
 05/03  07:30:00,23.792010722686947,-2.3921252637319596,90.89267126837676 
 05/03  07:40:00,23.936629670033619,-2.3349574196967568,89.31100274385013 
 05/03  07:50:00,24.15938499786398,-2.247121961359153,86.55470067744229 
 05/03  08:00:00,24.416581724612404,-2.1463051440346718,82.9089835338405 
 05/03  08:10:00,24.92691901005687,-1.958087978683603,74.83332685945601 
 05/03  08:20:00,25.195526949831149,-1.8639739488423864,70.27317795271685 
 05/03  08:30:00,25.281130317562928,-1.8243753751275834,68.2723366792753 
 05/03  08:40:00,25.32205447196678,-1.79499231640637,66.76113710489867 
 05/03  08:50:00,25.400569825517367,-1.7481156072529858,64.3099446792463 
 05/03  09:00:00,25.503072109863134,-1.69660077765474,61.569594564263187 
 05/03  09:10:00,27.52425741785165,0.037631597341256737,5.029316610039089 
 05/03  09:20:00,27.84730455631492,0.15121167011245768,5.4737961855413179 
 05/03  09:30:00,28.139037745507829,0.2239379072628809,6.0403646197120939 
 05/03  09:40:00,28.632756032123678,0.3529940287877214,7.592798816575879 
 05/03  09:50:00,28.782575884783076,0.4120761863903641,8.539317730898987 
 05/03  10:00:00,28.74921527436253,0.42141319743188268,8.702558407085164 
 05/03  10:10:00,28.67667579705421,0.4137044050835104,8.567515202273654 
 05/03  10:20:00,28.892784323523835,0.48017882816115217,9.815934792793897 
 05/03  10:30:00,29.135760884628057,0.5552306475868862,11.454561640835309 
 05/03  10:40:00,29.266897333091067,0.6042286225930148,12.656029871487107 
 05/03  10:50:00,29.34048162598545,0.6376517574122764,13.535362911768104 
 05/03  11:00:00,29.443323676934008,0.6772438275449391,14.639675919352755 
 05/03  11:10:00,29.602472175345608,0.7357775041592011,16.396472102598965 
 05/03  11:20:00,29.700026075202506,0.7659037426082307,17.358093392554936 
 05/03  11:30:00,29.928965832714526,0.843958221187065,20.02902684562811 
