Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ESTE:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),NORTE:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),OESTE:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),SUR:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),TECHO:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep) 
 03/05  10:10:00,26.2,608.2178193728303,128.9836551766515,128.9836551766515,395.08340618433086,591.8899249038062 
 03/05  10:20:00,26.9,612.9866660381375,132.93765903662789,132.93765903662789,421.5801149144272,639.928314225044 
 03/05  10:30:00,27.2,594.8886802343468,135.0481084842055,135.0481084842055,435.4562330667684,667.203994435848 
 03/05  10:40:00,27.3,573.1049448068046,136.39163906952545,136.39163906952545,447.64022205256659,691.7820438595079 
 03/05  10:50:00,27.4,548.8094869851915,137.72359871770176,137.72359871770176,458.95718259020375,714.7533697893902 
 03/05  11:00:00,27.6,524.1468640161405,139.1910744449412,139.1910744449412,471.0370943596632,738.8948116966124 
 03/05  11:10:00,28.5,495.6856538110889,140.7126229619931,140.7126229619931,480.8395943868818,758.7725346614767 
 03/05  11:20:00,28.0,465.21381622513578,142.18577230340919,142.18577230340919,489.48470203235225,776.3683437342738 
 03/05  11:30:00,29.1,430.78979222413786,143.1265097783823,143.1265097783823,494.33433831588016,787.097219024786 
 03/05  11:40:00,29.2,396.4979564719991,143.97666108286908,143.97666108286908,499.55885070861788,798.2744029944586 
 03/05  11:50:00,29.9,362.52937738533026,145.62822721414998,145.62822721414998,505.28517999300677,809.6682069076551 
 03/05  12:00:00,30.5,327.01784660064649,146.36916113508986,146.36916113508986,509.4725669077686,818.4598016879874 
 03/05  12:10:00,31.4,290.64853243049415,146.66064831147359,146.66064831147359,512.8697486931537,825.766891455871 
 03/05  12:20:00,30.8,250.6703810143153,145.5637990677334,145.5637990677334,508.2216310797425,818.701514081323 
 03/05  12:30:00,30.6,214.37609093628718,146.3723733055232,146.3723733055232,509.7037691909099,821.6339513077795 
 03/05  12:40:00,30.8,177.27362154239678,146.683468162368,146.683468162368,506.71757634872486,816.3210481584217 
 03/05  12:50:00,30.9,143.97067833810267,143.97067833810267,149.81595989816698,487.14477655483418,781.7075826313696 
 03/05  13:00:00,31.5,116.90801640263239,116.90801640263239,133.14395893307884,253.26203025806405,407.60421830253559 
 03/05  13:10:00,31.8,123.2526656242745,123.2526656242745,166.95275592668586,320.6348903162607,498.28097135055637 
 03/05  13:20:00,32.0,154.98022374329728,154.98022374329728,274.4904139325779,523.5418140493126,842.1783561262405 
 03/05  13:30:00,31.8,156.9716761322873,156.9716761322873,313.29347043745755,522.2808216655753,838.1609802694034 
 03/05  13:40:00,31.6,160.045206974586,160.045206974586,353.1881610707092,522.6684017238447,836.6478959537885 
 03/05  13:50:00,32.8,168.087157205643,168.087157205643,398.54966679725217,528.936041793131,844.8507753851918 
 03/05  14:00:00,33.5,176.4167530553024,176.4167530553024,396.8294433629722,471.74659763908439,748.8350708863186 
 03/05  14:10:00,31.8,148.79508018901775,148.79508018901775,191.26783148461554,198.41774272328284,344.4057583993253 
 03/05  14:20:00,32.4,164.52271115956305,164.52271115956305,321.37580294779249,326.60275616532376,520.837325520275 
 03/05  14:30:00,32.8,180.50000441213923,180.50000441213923,506.78246938655368,482.00063077571908,761.3054913388265 
 03/05  14:40:00,33.7,178.62927420459634,178.62927420459634,529.8283553313711,471.384124145202,741.0290048828033 
