Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep) 
 05/14  20:30:00,31.9,0.0 
 05/14  20:40:00,31.6,0.0 
 05/14  20:50:00,31.4,0.0 
 05/14  21:00:00,31.2,0.0 
 05/14  21:10:00,31.0,0.0 
 05/14  21:20:00,30.7,0.0 
 05/14  21:30:00,30.0,0.0 
 05/14  21:40:00,30.0,0.0 
 05/14  21:50:00,29.8,0.0 
 05/14  22:00:00,28.6,0.0 
 05/14  22:10:00,28.5,0.0 
 05/14  22:20:00,28.1,0.0 
 05/14  22:30:00,27.1,0.0 
 05/14  22:40:00,27.2,0.0 
 05/14  22:50:00,27.2,0.0 
 05/14  23:00:00,26.8,0.0 
 05/14  23:10:00,26.6,0.0 
 05/14  23:20:00,26.8,0.0 
 05/14  23:30:00,26.5,0.0 
 05/14  23:40:00,26.0,0.0 
 05/14  23:50:00,25.6,0.0 
 05/14  24:00:00,25.8,0.0 
 05/15  00:10:00,25.6,0.0 
 05/15  00:20:00,25.3,0.0 
 05/15  00:30:00,25.4,0.0 
 05/15  00:40:00,25.3,0.0 
 05/15  00:50:00,25.0,0.0 
 05/15  01:00:00,25.0,0.0 
 05/15  01:10:00,25.1,0.0 
 05/15  01:20:00,25.0,0.0 
 05/15  01:30:00,25.1,0.0 
 05/15  01:40:00,24.9,0.0 
 05/15  01:50:00,24.6,0.0 
 05/15  02:00:00,24.2,0.0 
 05/15  02:10:00,24.1,0.0 
 05/15  02:20:00,24.5,0.0 
 05/15  02:30:00,24.3,0.0 
 05/15  02:40:00,24.0,0.0 
 05/15  02:50:00,23.7,0.0 
 05/15  03:00:00,22.8,0.0 
 05/15  03:10:00,23.3,0.0 
 05/15  03:20:00,22.9,0.0 
 05/15  03:30:00,22.8,0.0 
 05/15  03:40:00,22.8,0.0 
 05/15  03:50:00,22.7,0.0 
 05/15  04:00:00,22.6,0.0 
 05/15  04:10:00,22.9,0.0 
 05/15  04:20:00,23.2,0.0 
 05/15  04:30:00,22.8,0.0 
 05/15  04:40:00,22.5,0.0 
 05/15  04:50:00,22.3,0.0 
 05/15  05:00:00,22.6,0.0 
 05/15  05:10:00,22.7,0.0 
 05/15  05:20:00,22.7,0.0 
 05/15  05:30:00,22.1,0.0 
 05/15  05:40:00,21.9,0.0 
 05/15  05:50:00,22.4,0.0 
 05/15  06:00:00,22.3,0.0 
 05/15  06:10:00,21.8,0.0 
 05/15  06:20:00,22.2,0.044 
 05/15  06:30:00,22.5,3.975 
 05/15  06:40:00,22.0,11.78 
 05/15  06:50:00,21.5,21.85 
 05/15  07:00:00,21.7,33.39 
 05/15  07:10:00,22.0,45.38 
 05/15  07:20:00,22.3,58.28 
 05/15  07:30:00,22.7,71.27 
 05/15  07:40:00,23.3,84.3 
 05/15  07:50:00,23.5,98.3 
 05/15  08:00:00,23.5,111.3 
 05/15  08:10:00,24.3,122.6 
 05/15  08:20:00,25.4,134.5 
 05/15  08:30:00,25.1,147.9 
 05/15  08:40:00,25.7,159.6 
 05/15  08:50:00,26.2,170.9 
 05/15  09:00:00,26.2,182.7 
 05/15  09:10:00,26.3,194.0 
 05/15  09:20:00,26.5,205.5 
 05/15  09:30:00,26.7,216.7 
 05/15  09:40:00,26.8,228.1 
 05/15  09:50:00,27.3,238.4 
 05/15  10:00:00,27.9,248.4 
 05/15  10:10:00,28.1,258.9 
 05/15  10:20:00,28.1,268.2 
 05/15  10:30:00,28.4,274.3 
 05/15  10:40:00,28.6,283.1 
 05/15  10:50:00,29.5,291.2 
 05/15  11:00:00,30.2,295.8 
 05/15  11:10:00,29.8,301.8 
 05/15  11:20:00,30.0,306.6 
 05/15  11:30:00,29.8,311.1 
 05/15  11:40:00,30.3,312.7 
 05/15  11:50:00,30.4,314.0 
 05/15  12:00:00,30.0,315.7 
 05/15  12:10:00,30.5,317.7 
 05/15  12:20:00,30.7,319.4 
 05/15  12:30:00,31.1,320.7 
 05/15  12:40:00,30.9,318.5 
 05/15  12:50:00,31.4,321.9 
 05/15  13:00:00,32.1,320.9 
 05/15  13:10:00,31.9,318.1 
 05/15  13:20:00,32.0,316.1 
 05/15  13:30:00,32.5,313.6 
 05/15  13:40:00,32.9,309.7 
 05/15  13:50:00,33.7,306.6 
 05/15  14:00:00,34.0,304.5 
 05/15  14:10:00,33.4,302.0 
 05/15  14:20:00,34.0,298.7 
 05/15  14:30:00,34.1,290.7 
 05/15  14:40:00,33.8,282.5 
 05/15  14:50:00,34.0,274.2 
 05/15  15:00:00,33.8,269.7 
 05/15  15:10:00,34.2,266.7 
 05/15  15:20:00,33.9,258.2 
 05/15  15:30:00,34.0,256.7 
 05/15  15:40:00,34.5,254.6 
 05/15  15:50:00,34.4,249.0 
 05/15  16:00:00,34.2,239.3 
 05/15  16:10:00,34.2,231.3 
 05/15  16:20:00,34.9,218.0 
 05/15  16:30:00,34.6,205.8 
 05/15  16:40:00,34.8,194.5 
 05/15  16:50:00,34.4,182.3 
 05/15  17:00:00,35.0,170.5 
 05/15  17:10:00,34.6,156.3 
 05/15  17:20:00,34.8,141.7 
 05/15  17:30:00,34.5,127.2 
 05/15  17:40:00,34.4,115.1 
 05/15  17:50:00,34.0,102.8 
 05/15  18:00:00,33.9,86.9 
 05/15  18:10:00,34.0,70.84 
 05/15  18:20:00,34.0,55.64 
 05/15  18:30:00,33.9,42.06 
 05/15  18:40:00,33.7,32.45 
 05/15  18:50:00,33.5,24.16 
 05/15  19:00:00,33.3,0.0 
 05/15  19:10:00,33.0,0.0 
 05/15  19:20:00,32.7,0.0 
 05/15  19:30:00,32.3,0.0 
 05/15  19:40:00,32.0,0.0 
 05/15  19:50:00,31.9,0.0 
 05/15  20:00:00,31.8,0.0 
 05/15  20:10:00,31.5,0.0 
 05/15  20:20:00,31.7,0.0 
 05/15  20:30:00,31.6,0.0 
 05/15  20:40:00,31.5,0.0 
 05/15  20:50:00,31.2,0.0 
 05/15  21:00:00,31.0,0.0 
 05/15  21:10:00,30.6,0.0 
 05/15  21:20:00,29.9,0.0 
 05/15  21:30:00,29.6,0.0 
 05/15  21:40:00,29.4,0.0 
 05/15  21:50:00,29.4,0.0 
 05/15  22:00:00,29.1,0.0 
 05/15  22:10:00,28.6,0.0 
 05/15  22:20:00,28.5,0.0 
 05/15  22:30:00,28.7,0.0 
 05/15  22:40:00,28.3,0.0 
 05/15  22:50:00,27.4,0.0 
 05/15  23:00:00,27.5,0.0 
 05/15  23:10:00,27.5,0.0 
 05/15  23:20:00,27.3,0.0 
 05/15  23:30:00,27.1,0.0 
 05/15  23:40:00,27.1,0.0 
 05/15  23:50:00,26.2,0.0 
 05/15  24:00:00,26.8,0.0 
 05/16  00:10:00,26.6,0.0 
 05/16  00:20:00,26.3,0.0 
 05/16  00:30:00,26.1,0.0 
 05/16  00:40:00,25.9,0.0 
 05/16  00:50:00,25.7,0.0 
 05/16  01:00:00,26.0,0.0 
 05/16  01:10:00,26.2,0.0 
 05/16  01:20:00,25.7,0.0 
 05/16  01:30:00,25.7,0.0 
 05/16  01:40:00,25.5,0.0 
 05/16  01:50:00,25.5,0.0 
 05/16  02:00:00,25.0,0.0 
 05/16  02:10:00,24.8,0.0 
 05/16  02:20:00,24.9,0.0 
 05/16  02:30:00,24.5,0.0 
 05/16  02:40:00,24.1,0.0 
 05/16  02:50:00,23.5,0.0 
 05/16  03:00:00,23.6,0.0 
 05/16  03:10:00,23.7,0.0 
 05/16  03:20:00,23.7,0.0 
 05/16  03:30:00,23.7,0.0 
 05/16  03:40:00,23.8,0.0 
 05/16  03:50:00,24.0,0.0 
 05/16  04:00:00,24.1,0.0 
 05/16  04:10:00,23.7,0.0 
 05/16  04:20:00,23.3,0.0 
 05/16  04:30:00,23.0,0.0 
 05/16  04:40:00,22.9,0.0 
 05/16  04:50:00,23.6,0.0 
 05/16  05:00:00,23.1,0.0 
 05/16  05:10:00,22.9,0.0 
 05/16  05:20:00,23.2,0.0 
 05/16  05:30:00,23.2,0.0 
 05/16  05:40:00,23.0,0.0 
 05/16  05:50:00,22.8,0.0 
 05/16  06:00:00,22.6,0.0 
 05/16  06:10:00,22.4,0.0 
 05/16  06:20:00,22.1,0.282 
 05/16  06:30:00,22.0,4.941 
 05/16  06:40:00,21.9,13.5 
 05/16  06:50:00,21.8,24.06 
 05/16  07:00:00,21.8,35.84 
 05/16  07:10:00,22.2,48.32 
 05/16  07:20:00,22.6,60.83 
 05/16  07:30:00,22.6,73.47 
 05/16  07:40:00,22.8,87.0 
 05/16  07:50:00,23.3,99.7 
 05/16  08:00:00,23.8,112.8 
 05/16  08:10:00,24.5,125.2 
 05/16  08:20:00,25.3,136.4 
 05/16  08:30:00,25.6,148.2 
 05/16  08:40:00,26.1,160.0 
 05/16  08:50:00,26.7,169.7 
 05/16  09:00:00,27.1,179.1 
 05/16  09:10:00,27.3,188.3 
 05/16  09:20:00,28.2,193.9 
 05/16  09:30:00,28.7,208.0 
 05/16  09:40:00,28.8,216.4 
 05/16  09:50:00,28.6,224.2 
 05/16  10:00:00,28.8,232.1 
 05/16  10:10:00,29.1,239.1 
 05/16  10:20:00,29.2,246.4 
 05/16  10:30:00,29.1,253.8 
 05/16  10:40:00,29.2,261.2 
 05/16  10:50:00,28.9,266.8 
 05/16  11:00:00,29.7,273.5 
 05/16  11:10:00,29.7,278.9 
 05/16  11:20:00,30.1,283.2 
 05/16  11:30:00,30.6,288.3 
 05/16  11:40:00,30.3,292.1 
 05/16  11:50:00,30.2,298.7 
 05/16  12:00:00,30.9,307.5 
 05/16  12:10:00,31.5,317.5 
 05/16  12:20:00,31.4,331.7 
 05/16  12:30:00,31.7,340.0 
 05/16  12:40:00,31.7,345.1 
 05/16  12:50:00,31.6,353.5 
 05/16  13:00:00,31.6,356.4 
 05/16  13:10:00,32.0,356.8 
 05/16  13:20:00,32.2,368.3 
 05/16  13:30:00,33.0,378.4 
 05/16  13:40:00,33.2,408.5 
 05/16  13:50:00,33.2,442.6 
 05/16  14:00:00,33.5,418.4 
 05/16  14:10:00,34.0,425.1 
 05/16  14:20:00,33.2,399.3 
 05/16  14:30:00,33.3,356.9 
 05/16  14:40:00,33.5,359.5 
 05/16  14:50:00,33.5,387.2 
 05/16  15:00:00,34.1,322.1 
 05/16  15:10:00,34.0,330.4 
 05/16  15:20:00,33.4,250.1 
 05/16  15:30:00,33.3,172.2 
 05/16  15:40:00,33.1,162.6 
 05/16  15:50:00,33.1,163.3 
 05/16  16:00:00,33.1,233.4 
 05/16  16:10:00,33.9,311.8 
 05/16  16:20:00,34.5,267.5 
 05/16  16:30:00,33.9,226.1 
 05/16  16:40:00,34.0,214.5 
 05/16  16:50:00,34.1,186.5 
 05/16  17:00:00,34.0,137.4 
 05/16  17:10:00,33.3,95.3 
 05/16  17:20:00,32.8,54.32 
 05/16  17:30:00,32.8,39.86 
 05/16  17:40:00,32.8,46.36 
 05/16  17:50:00,31.5,50.94 
 05/16  18:00:00,31.1,50.97 
 05/16  18:10:00,30.9,52.82 
 05/16  18:20:00,30.5,32.24 
 05/16  18:30:00,30.4,23.38 
 05/16  18:40:00,30.5,22.33 
 05/16  18:50:00,30.4,17.56 
 05/16  19:00:00,30.4,0.0 
 05/16  19:10:00,30.4,0.0 
 05/16  19:20:00,30.2,0.0 
 05/16  19:30:00,30.1,0.0 
 05/16  19:40:00,30.0,0.0 
 05/16  19:50:00,30.1,0.0 
 05/16  20:00:00,29.7,0.0 
 05/16  20:10:00,29.7,0.0 
 05/16  20:20:00,29.2,0.0 
 05/16  20:30:00,28.4,0.0 
 05/16  20:40:00,27.8,0.0 
 05/16  20:50:00,27.4,0.0 
 05/16  21:00:00,27.1,0.0 
 05/16  21:10:00,26.9,0.0 
 05/16  21:20:00,26.6,0.0 
 05/16  21:30:00,26.5,0.0 
 05/16  21:40:00,26.5,0.0 
 05/16  21:50:00,26.7,0.0 
 05/16  22:00:00,26.7,0.0 
 05/16  22:10:00,24.4,0.0 
 05/16  22:20:00,21.6,0.0 
 05/16  22:30:00,21.3,0.0 
 05/16  22:40:00,21.2,0.0 
 05/16  22:50:00,21.3,0.0 
 05/16  23:00:00,21.4,0.0 
 05/16  23:10:00,21.5,0.0 
 05/16  23:20:00,21.1,0.0 
 05/16  23:30:00,20.7,0.0 
 05/16  23:40:00,20.8,0.0 
 05/16  23:50:00,20.6,0.0 
 05/16  24:00:00,20.9,0.0 
 05/17  00:10:00,21.0,0.0 
 05/17  00:20:00,21.2,0.0 
 05/17  00:30:00,21.0,0.0 
 05/17  00:40:00,21.1,0.0 
 05/17  00:50:00,20.8,0.0 
 05/17  01:00:00,20.8,0.0 
 05/17  01:10:00,20.7,0.0 
 05/17  01:20:00,20.5,0.0 
 05/17  01:30:00,20.5,0.0 
 05/17  01:40:00,20.7,0.0 
 05/17  01:50:00,20.7,0.0 
 05/17  02:00:00,20.8,0.0 
 05/17  02:10:00,20.9,0.0 
 05/17  02:20:00,20.8,0.0 
 05/17  02:30:00,20.7,0.0 
 05/17  02:40:00,20.5,0.0 
 05/17  02:50:00,20.5,0.0 
 05/17  03:00:00,20.4,0.0 
 05/17  03:10:00,20.1,0.0 
 05/17  03:20:00,20.0,0.0 
 05/17  03:30:00,19.8,0.0 
 05/17  03:40:00,19.8,0.0 
 05/17  03:50:00,19.6,0.0 
 05/17  04:00:00,19.7,0.0 
 05/17  04:10:00,19.8,0.0 
 05/17  04:20:00,19.8,0.0 
 05/17  04:30:00,19.7,0.0 
 05/17  04:40:00,20.0,0.0 
 05/17  04:50:00,20.2,0.0 
 05/17  05:00:00,20.0,0.0 
 05/17  05:10:00,20.0,0.0 
 05/17  05:20:00,20.0,0.0 
 05/17  05:30:00,20.0,0.0 
 05/17  05:40:00,19.8,0.0 
 05/17  05:50:00,19.9,0.0 
 05/17  06:00:00,19.7,0.0 
 05/17  06:10:00,19.4,0.0 
 05/17  06:20:00,19.0,0.239 
 05/17  06:30:00,19.0,5.133 
 05/17  06:40:00,19.2,16.32 
 05/17  06:50:00,19.2,28.52 
 05/17  07:00:00,19.6,41.87 
 05/17  07:10:00,19.8,54.27 
 05/17  07:20:00,20.1,65.59 
 05/17  07:30:00,20.5,78.17 
 05/17  07:40:00,21.1,90.6 
 05/17  07:50:00,21.8,103.1 
 05/17  08:00:00,22.3,117.5 
 05/17  08:10:00,22.9,130.2 
 05/17  08:20:00,23.2,142.1 
 05/17  08:30:00,23.6,153.8 
 05/17  08:40:00,23.7,165.4 
 05/17  08:50:00,24.5,174.6 
 05/17  09:00:00,24.6,183.8 
 05/17  09:10:00,24.4,191.7 
 05/17  09:20:00,25.4,199.4 
 05/17  09:30:00,25.1,208.4 
 05/17  09:40:00,25.6,217.7 
 05/17  09:50:00,26.6,225.8 
 05/17  10:00:00,27.0,233.3 
 05/17  10:10:00,27.3,241.2 
 05/17  10:20:00,26.8,251.2 
 05/17  10:30:00,27.0,259.2 
 05/17  10:40:00,27.6,272.8 
 05/17  10:50:00,27.6,282.3 
 05/17  11:00:00,27.6,297.5 
 05/17  11:10:00,27.6,308.7 
 05/17  11:20:00,27.9,320.6 
 05/17  11:30:00,27.9,325.0 
 05/17  11:40:00,28.2,322.6 
 05/17  11:50:00,27.5,322.5 
 05/17  12:00:00,28.5,330.0 
 05/17  12:10:00,28.3,344.6 
 05/17  12:20:00,29.4,353.1 
 05/17  12:30:00,30.1,354.2 
 05/17  12:40:00,30.2,351.2 
 05/17  12:50:00,30.3,347.2 
 05/17  13:00:00,30.0,345.6 
 05/17  13:10:00,30.5,351.6 
 05/17  13:20:00,30.3,358.9 
 05/17  13:30:00,30.8,344.4 
 05/17  13:40:00,31.1,346.8 
 05/17  13:50:00,30.6,351.7 
 05/17  14:00:00,31.5,370.3 
 05/17  14:10:00,31.8,359.8 
 05/17  14:20:00,31.1,342.5 
 05/17  14:30:00,31.6,401.7 
 05/17  14:40:00,32.2,381.3 
 05/17  14:50:00,32.2,326.5 
 05/17  15:00:00,32.1,275.5 
 05/17  15:10:00,31.4,226.6 
 05/17  15:20:00,31.6,202.7 
 05/17  15:30:00,31.5,196.7 
 05/17  15:40:00,31.4,174.1 
 05/17  15:50:00,31.6,156.6 
 05/17  16:00:00,31.3,137.0 
 05/17  16:10:00,31.5,140.5 
 05/17  16:20:00,31.2,133.2 
 05/17  16:30:00,31.1,150.1 
 05/17  16:40:00,30.9,162.5 
 05/17  16:50:00,30.2,144.3 
 05/17  17:00:00,30.0,145.7 
 05/17  17:10:00,30.6,165.1 
 05/17  17:20:00,31.0,138.6 
 05/17  17:30:00,31.0,102.7 
 05/17  17:40:00,30.8,105.6 
 05/17  17:50:00,30.6,80.6 
 05/17  18:00:00,30.1,61.62 
 05/17  18:10:00,29.4,43.04 
 05/17  18:20:00,28.7,36.6 
 05/17  18:30:00,28.2,38.42 
 05/17  18:40:00,28.0,34.45 
 05/17  18:50:00,27.8,23.85 
 05/17  19:00:00,27.6,14.21 
 05/17  19:10:00,27.5,0.0 
 05/17  19:20:00,27.5,0.0 
 05/17  19:30:00,27.5,0.0 
 05/17  19:40:00,27.2,0.0 
 05/17  19:50:00,27.0,0.0 
 05/17  20:00:00,26.8,0.0 
 05/17  20:10:00,26.8,0.0 
 05/17  20:20:00,26.7,0.0 
 05/17  20:30:00,26.8,0.0 
 05/17  20:40:00,26.8,0.0 
 05/17  20:50:00,26.7,0.0 
 05/17  21:00:00,26.2,0.0 
 05/17  21:10:00,26.0,0.0 
 05/17  21:20:00,25.9,0.0 
 05/17  21:30:00,25.6,0.0 
 05/17  21:40:00,25.7,0.0 
 05/17  21:50:00,25.6,0.0 
 05/17  22:00:00,25.8,0.0 
 05/17  22:10:00,25.9,0.0 
 05/17  22:20:00,25.9,0.0 
 05/17  22:30:00,26.0,0.0 
 05/17  22:40:00,25.8,0.0 
 05/17  22:50:00,25.8,0.0 
 05/17  23:00:00,25.7,0.0 
 05/17  23:10:00,25.5,0.0 
 05/17  23:20:00,25.4,0.0 
 05/17  23:30:00,25.3,0.0 
 05/17  23:40:00,25.0,0.0 
 05/17  23:50:00,24.8,0.0 
 05/17  24:00:00,24.6,0.0 
 05/18  00:10:00,24.5,0.0 
 05/18  00:20:00,24.4,0.0 
 05/18  00:30:00,24.0,0.0 
 05/18  00:40:00,23.5,0.0 
 05/18  00:50:00,23.3,0.0 
 05/18  01:00:00,23.1,0.0 
 05/18  01:10:00,22.9,0.0 
 05/18  01:20:00,22.9,0.0 
 05/18  01:30:00,22.8,0.0 
 05/18  01:40:00,22.7,0.0 
 05/18  01:50:00,22.8,0.0 
 05/18  02:00:00,22.7,0.0 
 05/18  02:10:00,22.3,0.0 
 05/18  02:20:00,22.1,0.0 
 05/18  02:30:00,22.1,0.0 
 05/18  02:40:00,22.1,0.0 
 05/18  02:50:00,22.0,0.0 
 05/18  03:00:00,21.8,0.0 
 05/18  03:10:00,21.7,0.0 
 05/18  03:20:00,21.6,0.0 
 05/18  03:30:00,21.5,0.0 
 05/18  03:40:00,21.4,0.0 
 05/18  03:50:00,21.3,0.0 
 05/18  04:00:00,21.2,0.0 
 05/18  04:10:00,21.2,0.0 
 05/18  04:20:00,21.2,0.0 
 05/18  04:30:00,21.2,0.0 
 05/18  04:40:00,20.9,0.0 
 05/18  04:50:00,20.8,0.0 
 05/18  05:00:00,20.7,0.0 
 05/18  05:10:00,20.3,0.0 
 05/18  05:20:00,20.3,0.0 
 05/18  05:30:00,20.3,0.0 
 05/18  05:40:00,20.3,0.0 
 05/18  05:50:00,20.2,0.0 
 05/18  06:00:00,20.1,0.0 
 05/18  06:10:00,19.6,0.0 
 05/18  06:20:00,19.5,0.385 
 05/18  06:30:00,19.5,6.749 
 05/18  06:40:00,19.4,16.64 
 05/18  06:50:00,19.5,27.81 
 05/18  07:00:00,19.5,41.33 
 05/18  07:10:00,19.9,60.63 
 05/18  07:20:00,20.6,73.5 
 05/18  07:30:00,21.1,80.9 
 05/18  07:40:00,21.3,98.7 
 05/18  07:50:00,21.6,104.8 
 05/18  08:00:00,22.5,122.2 
 05/18  08:10:00,22.5,135.5 
 05/18  08:20:00,23.1,127.3 
 05/18  08:30:00,23.4,146.0 
 05/18  08:40:00,23.5,156.1 
 05/18  08:50:00,23.8,159.2 
 05/18  09:00:00,23.5,165.7 
 05/18  09:10:00,24.0,172.5 
 05/18  09:20:00,25.0,175.9 
 05/18  09:30:00,25.5,184.4 
 05/18  09:40:00,25.6,186.5 
 05/18  09:50:00,25.7,195.5 
 05/18  10:00:00,25.8,200.5 
 05/18  10:10:00,26.3,209.9 
 05/18  10:20:00,26.0,221.6 
 05/18  10:30:00,26.1,228.5 
 05/18  10:40:00,26.8,238.5 
 05/18  10:50:00,27.1,240.8 
 05/18  11:00:00,27.2,241.1 
 05/18  11:10:00,27.5,242.0 
 05/18  11:20:00,27.9,248.4 
 05/18  11:30:00,27.9,253.0 
 05/18  11:40:00,28.8,256.1 
 05/18  11:50:00,29.1,260.9 
 05/18  12:00:00,30.2,257.3 
 05/18  12:10:00,30.0,268.1 
 05/18  12:20:00,30.2,284.3 
 05/18  12:30:00,30.1,295.6 
 05/18  12:40:00,29.8,285.6 
 05/18  12:50:00,30.2,280.7 
 05/18  13:00:00,30.5,278.7 
 05/18  13:10:00,30.7,277.9 
 05/18  13:20:00,30.1,291.1 
 05/18  13:30:00,31.0,290.3 
 05/18  13:40:00,31.0,291.1 
 05/18  13:50:00,31.6,290.9 
 05/18  14:00:00,32.1,299.8 
 05/18  14:10:00,32.1,313.2 
 05/18  14:20:00,32.9,324.5 
 05/18  14:30:00,33.0,291.5 
 05/18  14:40:00,33.0,340.4 
 05/18  14:50:00,33.5,345.5 
 05/18  15:00:00,32.8,348.0 
 05/18  15:10:00,32.4,381.9 
 05/18  15:20:00,32.9,359.2 
 05/18  15:30:00,32.4,303.1 
 05/18  15:40:00,32.2,300.7 
 05/18  15:50:00,31.9,292.5 
 05/18  16:00:00,32.5,291.9 
 05/18  16:10:00,32.6,256.6 
 05/18  16:20:00,33.5,214.6 
 05/18  16:30:00,32.5,193.1 
 05/18  16:40:00,32.3,176.0 
 05/18  16:50:00,32.4,163.2 
 05/18  17:00:00,32.5,152.9 
 05/18  17:10:00,32.7,137.7 
 05/18  17:20:00,33.3,137.7 
 05/18  17:30:00,33.3,127.7 
 05/18  17:40:00,33.5,112.2 
 05/18  17:50:00,33.5,93.7 
 05/18  18:00:00,33.4,77.48 
 05/18  18:10:00,32.9,66.52 
 05/18  18:20:00,32.5,43.97 
 05/18  18:30:00,31.7,22.34 
 05/18  18:40:00,31.2,11.66 
 05/18  18:50:00,30.4,7.564 
 05/18  19:00:00,29.2,9.32 
 05/18  19:10:00,27.6,0.0 
 05/18  19:20:00,27.0,0.0 
 05/18  19:30:00,27.4,0.0 
 05/18  19:40:00,27.8,0.0 
 05/18  19:50:00,28.1,0.0 
 05/18  20:00:00,28.2,0.0 
 05/18  20:10:00,28.9,0.0 
 05/18  20:20:00,29.7,0.0 
 05/18  20:30:00,30.4,0.0 
 05/18  20:40:00,30.2,0.0 
 05/18  20:50:00,29.9,0.0 
 05/18  21:00:00,29.2,0.0 
 05/18  21:10:00,28.9,0.0 
 05/18  21:20:00,28.8,0.0 
 05/18  21:30:00,28.7,0.0 
 05/18  21:40:00,28.3,0.0 
 05/18  21:50:00,28.0,0.0 
 05/18  22:00:00,28.3,0.0 
 05/18  22:10:00,28.2,0.0 
 05/18  22:20:00,27.8,0.0 
 05/18  22:30:00,27.4,0.0 
 05/18  22:40:00,26.8,0.0 
 05/18  22:50:00,26.0,0.0 
 05/18  23:00:00,25.2,0.0 
 05/18  23:10:00,24.0,0.0 
 05/18  23:20:00,24.2,0.0 
 05/18  23:30:00,24.5,0.0 
 05/18  23:40:00,24.4,0.0 
 05/18  23:50:00,24.2,0.0 
 05/18  24:00:00,23.9,0.0 
 05/19  00:10:00,24.0,0.0 
 05/19  00:20:00,23.9,0.0 
 05/19  00:30:00,23.8,0.0 
 05/19  00:40:00,23.8,0.0 
 05/19  00:50:00,23.5,0.0 
 05/19  01:00:00,23.4,0.0 
 05/19  01:10:00,23.4,0.0 
 05/19  01:20:00,23.4,0.0 
 05/19  01:30:00,23.4,0.0 
 05/19  01:40:00,23.2,0.0 
 05/19  01:50:00,23.1,0.0 
 05/19  02:00:00,22.8,0.0 
 05/19  02:10:00,22.7,0.0 
 05/19  02:20:00,21.8,0.0 
 05/19  02:30:00,21.2,0.0 
 05/19  02:40:00,21.3,0.0 
 05/19  02:50:00,21.2,0.0 
 05/19  03:00:00,21.1,0.0 
 05/19  03:10:00,20.9,0.0 
 05/19  03:20:00,20.8,0.0 
 05/19  03:30:00,20.9,0.0 
 05/19  03:40:00,20.8,0.0 
 05/19  03:50:00,20.7,0.0 
 05/19  04:00:00,20.8,0.0 
 05/19  04:10:00,20.8,0.0 
 05/19  04:20:00,20.8,0.0 
 05/19  04:30:00,20.8,0.0 
 05/19  04:40:00,20.7,0.0 
 05/19  04:50:00,20.5,0.0 
 05/19  05:00:00,20.4,0.0 
 05/19  05:10:00,20.2,0.0 
 05/19  05:20:00,20.0,0.0 
 05/19  05:30:00,20.0,0.0 
 05/19  05:40:00,20.0,0.0 
 05/19  05:50:00,19.9,0.0 
 05/19  06:00:00,20.0,0.0 
 05/19  06:10:00,19.8,0.0 
 05/19  06:20:00,19.8,0.685 
 05/19  06:30:00,19.9,6.632 
 05/19  06:40:00,20.0,16.66 
 05/19  06:50:00,20.2,28.33 
 05/19  07:00:00,20.4,40.5 
 05/19  07:10:00,20.8,52.58 
 05/19  07:20:00,21.0,64.42 
 05/19  07:30:00,21.4,75.83 
 05/19  07:40:00,21.8,86.8 
 05/19  07:50:00,22.3,97.0 
 05/19  08:00:00,23.1,106.0 
 05/19  08:10:00,23.3,114.4 
 05/19  08:20:00,23.6,122.8 
 05/19  08:30:00,24.5,131.0 
 05/19  08:40:00,24.0,138.8 
 05/19  08:50:00,24.5,146.4 
 05/19  09:00:00,24.4,153.3 
 05/19  09:10:00,24.6,159.9 
 05/19  09:20:00,24.1,166.2 
 05/19  09:30:00,24.9,171.2 
 05/19  09:40:00,25.5,175.6 
 05/19  09:50:00,25.8,181.0 
 05/19  10:00:00,25.5,187.0 
 05/19  10:10:00,25.9,192.6 
 05/19  10:20:00,26.6,196.3 
 05/19  10:30:00,26.7,202.0 
 05/19  10:40:00,27.7,206.7 
 05/19  10:50:00,26.8,209.1 
 05/19  11:00:00,27.0,210.1 
 05/19  11:10:00,27.5,212.4 
 05/19  11:20:00,28.3,214.4 
 05/19  11:30:00,28.2,216.9 
 05/19  11:40:00,29.1,220.8 
 05/19  11:50:00,28.9,224.6 
 05/19  12:00:00,29.3,225.0 
 05/19  12:10:00,29.3,226.8 
 05/19  12:20:00,29.6,223.7 
 05/19  12:30:00,30.7,222.7 
 05/19  12:40:00,30.7,224.1 
 05/19  12:50:00,31.2,224.1 
 05/19  13:00:00,30.6,222.3 
 05/19  13:10:00,30.7,222.6 
 05/19  13:20:00,30.7,221.7 
 05/19  13:30:00,30.7,224.1 
 05/19  13:40:00,31.4,226.6 
 05/19  13:50:00,32.3,229.9 
 05/19  14:00:00,32.4,229.7 
 05/19  14:10:00,32.4,228.5 
 05/19  14:20:00,33.8,232.3 
 05/19  14:30:00,32.6,232.7 
 05/19  14:40:00,32.9,230.7 
 05/19  14:50:00,32.5,229.4 
 05/19  15:00:00,33.0,225.9 
 05/19  15:10:00,33.9,222.7 
 05/19  15:20:00,34.2,219.5 
 05/19  15:30:00,33.7,211.4 
 05/19  15:40:00,34.0,202.7 
 05/19  15:50:00,34.0,193.5 
 05/19  16:00:00,33.7,205.5 
 05/19  16:10:00,34.5,203.4 
 05/19  16:20:00,34.4,188.7 
