Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep) 
 05/04  02:10:00,24.3,0.0 
 05/04  02:20:00,23.9,0.0 
 05/04  02:30:00,23.6,0.0 
 05/04  02:40:00,23.4,0.0 
 05/04  02:50:00,23.3,0.0 
 05/04  03:00:00,22.8,0.0 
 05/04  03:10:00,22.4,0.0 
 05/04  03:20:00,22.1,0.0 
 05/04  03:30:00,21.8,0.0 
 05/04  03:40:00,21.6,0.0 
 05/04  03:50:00,21.7,0.0 
 05/04  04:00:00,21.9,0.0 
 05/04  04:10:00,21.4,0.0 
 05/04  04:20:00,21.3,0.0 
 05/04  04:30:00,21.7,0.0 
 05/04  04:40:00,21.7,0.0 
 05/04  04:50:00,21.3,0.0 
 05/04  05:00:00,21.1,0.0 
 05/04  05:10:00,21.2,0.0 
 05/04  05:20:00,20.8,0.0 
 05/04  05:30:00,20.7,0.0 
 05/04  05:40:00,20.3,0.0 
 05/04  05:50:00,20.3,0.0 
 05/04  06:00:00,20.7,0.0 
 05/04  06:10:00,20.8,0.0 
 05/04  06:20:00,21.0,0.0 
 05/04  06:30:00,21.1,2.832 
 05/04  06:40:00,20.9,11.28 
 05/04  06:50:00,21.1,24.65 
 05/04  07:00:00,21.1,37.95 
 05/04  07:10:00,21.1,51.26 
 05/04  07:20:00,21.4,61.72 
 05/04  07:30:00,21.8,74.81 
 05/04  07:40:00,22.2,98.1 
 05/04  07:50:00,22.5,125.9 
 05/04  08:00:00,23.2,128.0 
 05/04  08:10:00,23.8,126.5 
 05/04  08:20:00,24.1,130.4 
 05/04  08:30:00,24.8,166.9 
 05/04  08:40:00,25.4,189.5 
 05/04  08:50:00,25.8,196.5 
 05/04  09:00:00,25.9,198.1 
 05/04  09:10:00,25.2,179.5 
 05/04  09:20:00,25.0,182.2 
 05/04  09:30:00,25.5,209.1 
 05/04  09:40:00,25.4,209.5 
 05/04  09:50:00,25.6,236.4 
 05/04  10:00:00,25.9,263.6 
 05/04  10:10:00,26.4,288.7 
 05/04  10:20:00,26.7,292.5 
 05/04  10:30:00,27.0,297.9 
 05/04  10:40:00,27.2,354.8 
 05/04  10:50:00,27.8,292.4 
 05/04  11:00:00,28.2,331.2 
 05/04  11:10:00,28.6,343.6 
 05/04  11:20:00,29.5,329.2 
 05/04  11:30:00,30.2,284.0 
 05/04  11:40:00,30.2,260.2 
 05/04  11:50:00,30.2,294.9 
 05/04  12:00:00,30.0,300.6 
 05/04  12:10:00,30.3,329.4 
 05/04  12:20:00,31.2,360.3 
 05/04  12:30:00,31.4,363.3 
 05/04  12:40:00,31.5,417.9 
 05/04  12:50:00,31.5,414.9 
 05/04  13:00:00,31.6,422.0 
 05/04  13:10:00,32.2,413.6 
 05/04  13:20:00,32.2,401.0 
 05/04  13:30:00,32.1,379.2 
 05/04  13:40:00,32.1,340.0 
 05/04  13:50:00,32.1,299.1 
 05/04  14:00:00,32.7,385.1 
 05/04  14:10:00,32.7,363.0 
 05/04  14:20:00,32.2,355.3 
 05/04  14:30:00,32.2,297.3 
 05/04  14:40:00,32.1,267.3 
 05/04  14:50:00,32.2,287.5 
 05/04  15:00:00,32.1,307.8 
 05/04  15:10:00,32.9,288.2 
 05/04  15:20:00,33.7,271.9 
 05/04  15:30:00,33.5,265.2 
 05/04  15:40:00,33.7,261.1 
 05/04  15:50:00,33.4,232.8 
 05/04  16:00:00,32.8,239.7 
 05/04  16:10:00,33.7,258.2 
 05/04  16:20:00,34.0,207.8 
 05/04  16:30:00,33.5,181.5 
 05/04  16:40:00,33.3,194.8 
 05/04  16:50:00,33.0,173.4 
 05/04  17:00:00,32.8,114.4 
 05/04  17:10:00,32.6,105.8 
 05/04  17:20:00,32.6,118.1 
 05/04  17:30:00,32.7,142.1 
 05/04  17:40:00,32.8,151.8 
 05/04  17:50:00,33.0,125.3 
 05/04  18:00:00,32.6,86.7 
 05/04  18:10:00,32.5,59.24 
 05/04  18:20:00,32.3,54.69 
 05/04  18:30:00,32.3,52.61 
 05/04  18:40:00,32.2,38.54 
 05/04  18:50:00,32.0,28.5 
 05/04  19:00:00,31.8,0.0 
 05/04  19:10:00,31.4,0.0 
 05/04  19:20:00,31.0,0.0 
 05/04  19:30:00,30.5,0.0 
 05/04  19:40:00,30.0,0.0 
 05/04  19:50:00,29.6,0.0 
 05/04  20:00:00,29.5,0.0 
 05/04  20:10:00,29.2,0.0 
 05/04  20:20:00,29.1,0.0 
 05/04  20:30:00,28.9,0.0 
 05/04  20:40:00,28.9,0.0 
 05/04  20:50:00,28.8,0.0 
 05/04  21:00:00,28.4,0.0 
 05/04  21:10:00,28.0,0.0 
 05/04  21:20:00,28.0,0.0 
 05/04  21:30:00,27.5,0.0 
 05/04  21:40:00,27.9,0.0 
 05/04  21:50:00,27.9,0.0 
 05/04  22:00:00,27.8,0.0 
 05/04  22:10:00,27.6,0.0 
 05/04  22:20:00,27.4,0.0 
 05/04  22:30:00,27.1,0.0 
 05/04  22:40:00,26.7,0.0 
 05/04  22:50:00,26.5,0.0 
 05/04  23:00:00,26.8,0.0 
 05/04  23:10:00,27.0,0.0 
