2019,3,5,0,0,0.0,0.0,0.0,23.02,47.67,3.463,876.0016
2019,3,5,0,10,0.0,0.0,0.0,22.95,48.15,2.541,875.9597
2019,3,5,0,20,0.0,0.0,0.0,23.01,47.78,1.763,875.8949
2019,3,5,0,30,0.0,0.0,0.0,22.83,47.67,2.161,875.8536
2019,3,5,0,40,0.0,0.0,0.0,22.69,48.32,1.409,875.6332
2019,3,5,0,50,0.0,0.0,0.0,22.62,48.66,1.141,875.6904
2019,3,5,1,0,0.0,0.0,0.0,22.46,48.39,1.597,875.5177
2019,3,5,1,10,0.0,0.0,0.0,22.39,48.76,1.76,875.4866
2019,3,5,1,20,0.0,0.0,0.0,22.33,48.87,0.576,875.4692
2019,3,5,1,30,0.0,0.0,0.0,22.35,48.19,0.416,875.4123
2019,3,5,1,40,0.006,0.0,0.0,22.45,48.15,0.343,875.2319
2019,3,5,1,50,0.012,0.0,0.0,22.31,49.34,1.128,874.9625
2019,3,5,2,0,0.009,0.0,0.0,22.08,49.55,1.365,874.7244
2019,3,5,2,10,0.0,0.0,0.0,22.01,49.34,1.278,874.7996
2019,3,5,2,20,0.008,0.0,0.0,21.97,49.0,1.63,874.7496
2019,3,5,2,30,0.0,0.0,0.0,21.91,48.87,1.681,874.7173
2019,3,5,2,40,0.0,0.0,0.0,21.86,49.75,1.209,874.7333
2019,3,5,2,50,0.036,0.0,0.0,21.74,50.47,2.029,874.5947
2019,3,5,3,0,0.005,0.0,0.0,21.72,49.79,1.816,874.6262
2019,3,5,3,10,0.075,0.0,0.0,21.75,50.23,2.035,874.7007
2019,3,5,3,20,0.004,0.0,0.0,21.52,49.51,2.194,874.6106
2019,3,5,3,30,0.015,0.0,0.0,21.37,50.43,2.02,874.5868
2019,3,5,3,40,0.0,0.0,0.0,21.11,49.24,2.005,874.2914
2019,3,5,3,50,0.001,0.0,0.0,21.18,48.8,2.226,874.6113
2019,3,5,4,0,0.043,0.0,0.0,21.05,50.23,2.505,874.6273
2019,3,5,4,10,0.001,0.0,0.0,20.77,50.57,2.536,874.3488
2019,3,5,4,20,0.0,0.0,0.0,20.88,50.67,2.006,874.2836
2019,3,5,4,30,0.0,0.0,0.0,20.83,50.71,1.814,874.2339
2019,3,5,4,40,0.148,0.0,0.0,21.06,51.22,1.97,874.1946
2019,3,5,4,50,0.0,0.0,0.0,20.75,51.08,1.699,874.4064
2019,3,5,5,0,0.0,0.0,0.0,20.79,52.89,1.571,874.4394
2019,3,5,5,10,0.0,0.0,0.0,20.13,53.26,1.481,874.5367
2019,3,5,5,20,0.0,0.0,0.0,20.06,55.17,2.071,874.4146
2019,3,5,5,30,0.0,0.0,0.0,19.55,55.78,2.381,874.3083
2019,3,5,5,40,0.009,0.0,0.0,19.6,56.02,2.113,874.4396
2019,3,5,5,50,0.04,0.0,0.0,19.53,56.23,1.91,874.4882
2019,3,5,6,0,0.085,0.0,0.0,19.62,55.82,2.22,874.8155
2019,3,5,6,10,0.155,0.0,0.0,19.85,55.24,1.651,874.8389
2019,3,5,6,20,0.0,7.96,1.824,19.56,57.05,1.613,874.5622
2019,3,5,6,30,15.3,13.67,9.63,19.41,56.43,1.154,874.693
2019,3,5,6,40,61.87,30.03,20.3,19.45,56.77,1.644,874.8558
2019,3,5,6,50,94.9,49.3,31.65,19.83,53.84,1.689,874.9375
2019,3,5,7,0,142.7,74.75,43.26,20.1,56.3,1.823,874.9877
2019,3,5,7,10,177.7,101.3,54.53,20.09,53.64,2.316,874.9791
2019,3,5,7,20,214.5,131.0,65.97,20.69,52.79,2.158,875.093
2019,3,5,7,30,259.1,166.9,77.64,21.17,50.91,1.5,875.0775
2019,3,5,7,40,286.5,199.1,88.2,21.97,48.63,0.231,875.3066
2019,3,5,7,50,321.8,235.5,98.1,22.91,44.68,0.0,875.4286
2019,3,5,8,0,358.4,273.9,106.6,24.26,44.51,0.586,875.3793
2019,3,5,8,10,386.7,311.5,114.5,24.27,43.79,1.163,875.633
2019,3,5,8,20,425.9,355.2,122.5,24.43,44.16,1.006,875.4698
2019,3,5,8,30,452.5,393.7,129.4,24.72,42.94,1.069,875.478
2019,3,5,8,40,477.8,432.0,136.0,25.09,42.87,0.597,875.3165
2019,3,5,8,50,494.3,468.1,143.7,25.44,40.72,0.487,875.5524
2019,3,5,9,0,510.5,506.5,152.0,25.92,40.45,1.417,875.5606
2019,3,5,9,10,525.6,540.8,157.8,26.25,40.24,1.32,875.6935
2019,3,5,9,20,540.2,573.2,158.5,26.31,39.63,1.35,875.6775
2019,3,5,9,30,568.2,615.9,165.0,26.38,39.59,1.462,875.7485
2019,3,5,9,40,592.3,656.4,168.6,26.43,40.51,2.368,875.7704
2019,3,5,9,50,608.9,693.3,173.9,25.89,40.13,2.484,875.6724
2019,3,5,10,0,605.6,708.7,174.4,26.25,38.33,2.175,875.6083
2019,3,5,10,10,649.0,760.0,176.0,26.89,38.57,2.121,875.6271
2019,3,5,10,20,661.7,789.5,178.3,27.17,36.93,2.494,875.7897
2019,3,5,10,30,673.2,816.0,179.2,27.31,37.14,1.792,875.5891
2019,3,5,10,40,682.8,841.0,180.5,27.44,34.68,1.458,875.617
2019,3,5,10,50,694.7,869.0,181.8,27.61,35.64,2.124,875.7584
2019,3,5,11,0,700.5,891.0,184.5,28.52,34.68,1.897,875.4444
2019,3,5,11,10,704.1,913.0,187.7,27.98,32.88,2.262,875.5632
2019,3,5,11,20,700.4,924.0,191.3,29.13,33.63,1.849,875.4098
2019,3,5,11,30,699.4,938.0,194.3,29.2,31.28,1.66,875.3933
